

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000600000001,2000,M01,1.1
SMS01000000600000001,2000,M02,-1.4
SMS01000000600000001,2000,M03,-0.8
SMS01000000600000001,2000,M04,-1.6
SMS01000000600000001,2000,M05,-1.9
SMS01000000600000001,2000,M06,1.9
SMS01000000600000001,2000,M07,0.0
SMS01000000600000001,2000,M08,-0.5
SMS01000000600000001,2000,M09,-1.8
SMS01000000600000001,2000,M10,-4.0
SMS01000000600000001,2000,M11,-1.9
SMS01000000600000001,2000,M12,-1.1
SMS01000000600000001,2001,M01,-7.8
SMS01000000600000001,2001,M02,-1.3
SMS01000000600000001,2001,M03,-1.2
SMS01000000600000001,2001,M04,-2.2
SMS01000000600000001,2001,M05,-2.8
SMS01000000600000001,2001,M06,-3.9
SMS01000000600000001,2001,M07,-1.6
SMS01000000600000001,2001,M08,-1.3
SMS01000000600000001,2001,M09,-0.8
SMS01000000600000001,2001,M10,-5.3
SMS01000000600000001,2001,M11,-2.1
SMS01000000600000001,2001,M12,-2.7
SMS01000000600000001,2002,M01,-3.7
SMS01000000600000001,2002,M02,-1.7
SMS01000000600000001,2002,M03,-1.1
SMS01000000600000001,2002,M04,-0.8
SMS01000000600000001,2002,M05,-1.0
SMS01000000600000001,2002,M06,-1.6
SMS01000000600000001,2002,M07,-0.9
SMS01000000600000001,2002,M08,0.1
SMS01000000600000001,2002,M09,-0.4
SMS01000000600000001,2002,M10,-0.7
SMS01000000600000001,2002,M11,-1.8
SMS01000000600000001,2002,M12,-2.4
SMS01000000600000001,2003,M01,-0.7
SMS01000000600000001,2003,M02,-1.0
SMS01000000600000001,2003,M03,-1.8
SMS01000000600000001,2003,M04,-2.3
SMS01000000600000001,2003,M05,-2.4
SMS01000000600000001,2003,M06,-1.1
SMS01000000600000001,2003,M07,-2.1
SMS01000000600000001,2003,M08,0.0
SMS01000000600000001,2003,M09,-0.6
SMS01000000600000001,2003,M10,0.2
SMS01000000600000001,2003,M11,0.0
SMS01000000600000001,2003,M12,0.4
SMS01000000600000001,2004,M01,0.0
