StateCode	GroupCode	State	Group	NonInstitutionalPopulation	LaborForceNumber	PercentOfPopulation	EmploymentNumber	EmploymentPercentOfPopulation	UnemploymentNumber	UnemploymentRate
1	1	Alabama	Total	"3,391"	"2,145"	63.3	"2,043"	60.3	102	4.8
1	2	Alabama	Men	"1,614"	"1,139"	70.5	"1,088"	67.4	51	4.5
1	3	Alabama	Women	"1,777"	"1,007"	56.7	955	53.8	51	5.1
1	4	Alabama	White	"2,464"	"1,589"	64.5	"1,535"	62.3	54	3.4
1	5	Alabama	"White, men"	"1,197"	882	73.7	855	71.4	27	3.1
1	6	Alabama	"White, women"	"1,267"	707	55.8	680	53.7	27	3.9
1	7	Alabama	Black	893	529	59.3	482	54	47	8.9
1	8	Alabama	"Black, men"	401	244	60.9	221	55	23	9.6
1	9	Alabama	"Black, women"	492	285	58	261	53.1	24	8.4
1	19	Alabama	"Total, 16 to 19 years"	280	128	45.8	106	37.9	22	17.1
1	20	Alabama	"Total, 20 to 24 years"	304	220	72.3	197	64.9	22	10.1
1	21	Alabama	"Total, 25 to 34 years"	622	523	84.2	498	80.1	26	4.9
1	22	Alabama	"Total, 35 to 44 years"	671	565	84.3	551	82.1	14	2.5
1	23	Alabama	"Total, 45 to 54 years"	588	471	80.1	459	77.9	13	2.7
1	24	Alabama	"Total, 55 to 64 years"	374	181	48.5	178	47.6	3	1.8
1	25	Alabama	"Total, 65 years and over"	552	56	10.1	54	9.8	2	3.3
1	26	Alabama	"Men, 16 to 19 years"	150	73	48.8	60	40.2	13	17.7
1	27	Alabama	"Men, 20 to 24 years"	149	113	76.1	99	66.6	14	12.5
1	28	Alabama	"Men, 25 to 34 years"	283	260	91.9	250	88.2	10	4
1	29	Alabama	"Men, 35 to 44 years"	330	301	91.4	297	90	5	1.5
1	30	Alabama	"Men, 45 to 54 years"	285	250	87.9	244	85.8	6	2.4
1	31	Alabama	"Men, 55 to 64 years"	178	105	58.8	103	57.9	2	1.5
1	33	Alabama	"Women, 16 to 19 years"	130	55	42.2	46	35.3	9	16.4
1	34	Alabama	"Women, 20 to 24 years"	155	106	68.6	98	63.3	8	7.7
1	35	Alabama	"Women, 25 to 34 years"	339	264	77.7	248	73.2	15	5.7
1	36	Alabama	"Women, 35 to 44 years"	341	264	77.4	254	74.6	10	3.7
1	37	Alabama	"Women, 45 to 54 years"	304	221	72.9	214	70.6	7	3.1
1	38	Alabama	"Women, 55 to 64 years"	195	76	39	74	38.1	2	2.3
1	40	Alabama	"White, 16 to 19 years"	185	96	51.8	81	43.8	15	15.5
1	41	Alabama	"White, 20 to 24 years"	188	143	75.8	135	72	7	5
1	42	Alabama	"White, 25 to 34 years"	436	362	83	351	80.6	11	2.9
1	43	Alabama	"White, 35 to 44 years"	480	413	86.1	405	84.5	8	1.9
1	44	Alabama	"White, 45 to 54 years"	461	381	82.6	371	80.4	10	2.7
1	45	Alabama	"White, 55 to 64 years"	290	146	50.6	144	49.6	3	1.9
1	46	Alabama	"White, 65 years and over"	424	48	11.3	47	11	1	2.4
1	48	Alabama	"Black, 20 to 24 years"	109	73	66.4	57	52.5	15	20.9
1	49	Alabama	"Black, 25 to 34 years"	179	155	86.6	141	78.4	15	9.4
1	50	Alabama	"Black, 35 to 44 years"	182	144	79	137	75.4	7	4.6
1	51	Alabama	"Black, 45 to 54 years"	123	86	70.1	84	68	3	3.1
2	1	Alaska	Total	429	315	73.5	295	68.8	20	6.4
2	2	Alaska	Men	212	171	80.6	159	74.9	12	7
2	3	Alaska	Women	217	145	66.6	136	62.8	8	5.6
2	4	Alaska	White	335	250	74.8	237	70.8	13	5.3
2	5	Alaska	"White, men"	168	138	82	130	77.4	8	5.6
2	6	Alaska	"White, women"	166	112	67.5	107	64.2	6	4.9
2	7	Alaska	Black	13	10	80.9	10	75.2	1	7
2	8	Alaska	"Black, men"	7	6	89.5	6	81.4	1	9.1
2	9	Alaska	"Black, women"	6	4	70.1	4	67.4	-3	3.8
2	13	Alaska	Hispanic origin	11	8	79.4	8	73.5	1	7.4
2	14	Alaska	"Hispanic origin, men"	5	4	83.8	4	75.7	-3	9.7
2	15	Alaska	"Hispanic origin, women"	6	4	75.6	4	71.6	-3	5.2
2	19	Alaska	"Total, 16 to 19 years"	40	20	51.8	17	43.3	3	16.4
2	20	Alaska	"Total, 20 to 24 years"	34	27	77.8	24	69.3	3	10.9
2	21	Alaska	"Total, 25 to 34 years"	79	63	80.5	60	76.8	3	4.5
2	22	Alaska	"Total, 35 to 44 years"	116	99	85	93	80.1	6	5.7
2	23	Alaska	"Total, 45 to 54 years"	89	76	84.8	72	80.4	4	5.2
2	24	Alaska	"Total, 55 to 64 years"	41	25	61.2	24	58.4	1	4.6
2	25	Alaska	"Total, 65 years and over"	30	6	18.3	5	17.6	-3	3.6
2	26	Alaska	"Men, 16 to 19 years"	21	11	51.4	9	41.3	2	19.6
2	27	Alaska	"Men, 20 to 24 years"	16	14	86.7	12	77.1	2	11
2	28	Alaska	"Men, 25 to 34 years"	36	32	89.9	31	85.4	2	5
2	29	Alaska	"Men, 35 to 44 years"	57	54	93.3	50	87.3	3	6.4
2	30	Alaska	"Men, 45 to 54 years"	48	44	90.2	41	85.2	2	5.6
2	31	Alaska	"Men, 55 to 64 years"	20	13	67.9	13	64.4	1	5.2
2	33	Alaska	"Women, 16 to 19 years"	19	10	52.2	8	45.5	1	12.9
2	34	Alaska	"Women, 20 to 24 years"	19	13	70.3	12	62.7	1	10.8
2	35	Alaska	"Women, 25 to 34 years"	43	31	72.5	30	69.6	1	4.1
2	36	Alaska	"Women, 35 to 44 years"	58	45	76.8	43	73	2	4.9
2	37	Alaska	"Women, 45 to 54 years"	41	32	78.3	31	74.7	1	4.6
2	38	Alaska	"Women, 55 to 64 years"	21	12	55	11	52.8	-3	4
2	40	Alaska	"White, 16 to 19 years"	27	15	54	13	46.5	2	14
2	41	Alaska	"White, 20 to 24 years"	25	19	77.2	17	69.5	2	10
2	42	Alaska	"White, 25 to 34 years"	60	48	81.2	47	78.4	2	3.4
2	43	Alaska	"White, 35 to 44 years"	94	81	86.1	77	81.8	4	4.9
2	44	Alaska	"White, 45 to 54 years"	74	63	85.5	60	81.9	3	4.3
2	45	Alaska	"White, 55 to 64 years"	32	20	62.6	19	59.8	1	4.5
2	46	Alaska	"White, 65 years and over"	23	4	17	4	16.6	-3	2.2
4	1	Arizona	Total	"3,570"	"2,364"	66.2	"2,260"	63.3	104	4.4
4	2	Arizona	Men	"1,699"	"1,271"	74.8	"1,221"	71.8	50	3.9
4	3	Arizona	Women	"1,871"	"1,093"	58.4	"1,039"	55.5	54	4.9
4	4	Arizona	White	"3,269"	"2,165"	66.2	"2,072"	63.4	93	4.3
4	5	Arizona	"White, men"	"1,569"	"1,183"	75.4	"1,139"	72.6	43	3.7
4	6	Arizona	"White, women"	"1,700"	983	57.8	933	54.9	50	5
4	7	Arizona	Black	139	100	71.7	93	66.9	7	6.7
4	9	Arizona	"Black, women"	75	52	69.3	50	66.4	2	4.3
4	13	Arizona	Hispanic origin	903	602	66.7	564	62.4	38	6.3
4	14	Arizona	"Hispanic origin, men"	443	352	79.6	336	75.8	16	4.7
