StateCode,GroupCode,State,Group,NonInstitutionalPopulation,LaborForceNumber,PercentOfPopulation,EmploymentNumber,EmploymentPercentOfPopulation,UnemploymentNumber,UnemploymentRate
01,01,Alabama,Total,"3,484    ","2,179    ",62.5    ,"2,053    ",58.9    ,126    ,5.8    
01,02,Alabama,Men,"1,651    ","1,156    ",70.0    ,"1,096    ",66.3    ,61    ,5.3    
01,03,Alabama,Women,"1,833    ","1,023    ",55.8    ,957    ,52.2    ,66    ,6.4    
01,04,Alabama,White,"2,518    ","1,595    ",63.4    ,"1,535    ",61.0    ,61    ,3.8    
01,05,Alabama,"White, men","1,220    ",883    ,72.4    ,850    ,69.7    ,33    ,3.7    
01,06,Alabama,"White, women","1,298    ",713    ,54.9    ,685    ,52.8    ,28    ,3.9    
01,07,Alabama,Black or African American,851    ,511    ,60.0    ,449    ,52.7    ,62    ,12.2    
01,08,Alabama,"Black or African American, men",374    ,233    ,62.1    ,207    ,55.2    ,26    ,11.2    
01,09,Alabama,"Black or African American, women",477    ,278    ,58.4    ,242    ,50.8    ,36    ,13.1    
01,13,Alabama,Hispanic or Latino ethnicity,57    ,50    ,87.1    ,48    ,83.9    ,2    ,3.7    
01,16,Alabama,"Married men, spouse present",972    ,735    ,75.6    ,716    ,73.6    ,19    ,2.6    
01,17,Alabama,"Married women, spouse present",969    ,571    ,59.0    ,552    ,57.0    ,19    ,3.4    
01,18,Alabama,Women who maintain families,234    ,150    ,64.0    ,132    ,56.4    ,18    ,11.8    
01,19,Alabama,"Total, 16 to 19 years",266    ,106    ,39.8    ,89    ,33.5    ,17    ,15.7    
01,20,Alabama,"Total, 20 to 24 years",307    ,224    ,73.2    ,196    ,64.0    ,28    ,12.6    
01,21,Alabama,"Total, 25 to 34 years",582    ,481    ,82.7    ,453    ,77.9    ,28    ,5.9    
01,22,Alabama,"Total, 35 to 44 years",642    ,522    ,81.2    ,492    ,76.6    ,29    ,5.6    
01,23,Alabama,"Total, 45 to 54 years",685    ,529    ,77.1    ,513    ,74.9    ,16    ,2.9    
01,24,Alabama,"Total, 55 to 64 years",463    ,254    ,54.9    ,247    ,53.5    ,7    ,2.6    
01,25,Alabama,"Total, 65 years and over",539    ,64    ,11.8    ,62    ,11.4    ,2    ,2.8    
