Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	756523.0955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63546244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.66235046	NaN	NaN	NaN	NaN	NaN	NaN	481996232.9	405699935	702766412.7	522389462.3	NaN	NaN	10737.04525	NaN	NaN	NaN	NaN	NaN	404888298.5	481996232.9	405699935	NaN	NaN	NaN	8320	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.841707688	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13231434.55	65844676.68	NaN	NaN	137325417.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.59999847	487.4956086	NaN	NaN	NaN	NaN	0
2449866412	667600052.8	987700536.3	251259630.1	30.80400085	261904505.2	692396174.1	914505331.3	27.36199951	235778772.8	694117635.3	20.76799965	486134791.1	172898304.1	2167747365	64.85900116	3691945525	725423130.4	3273596483	2597146031	656242317.2	416387553	19623282.74	NaN	564929475.1	NaN	666042139.3	NaN	522349836.2	4633877068	NaN	NaN	253091805.9	830648820.6	1.17573E-05	-12.9618454	589537.9576	6164639009	184.4459991	NaN	1568213222	6355849179	190.1670074	7420862520	1617444220	17647871432	28031313289	173.4980473	1437299647	43.00400543	400157151.8	NaN	1780492988	NaN	5864848683	175.4762726	NaN	1481881493	16284542411	NaN	NaN	158.9566688	1750	1087299150	32.53199057	1655542585	-490999986.8	-14.6907196	-124950402.9	NaN	NaN	49230998.89	NaN	NaN	NaN	163048767.8	2.992E-08	2.9918E-08	1.07756E-08	0.360148203	NaN	NaN	2
327312512	NaN	673124992	NaN	5375000064	12484357120	NaN	739075008	5912600064	67126484992	NaN	NaN	NaN	NaN	960800000	7686400000	906717093.9	1.17509E+11	473875008	1337238092	1.37266E+11	NaN	33920025.32	16068566.89	194948964.9	5777606.841	73256523.37	NaN	473806298.3	1883798354	NaN	NaN	NaN	NaN	5.143103869	NaN	NaN	2173750016	17390000128	2936846362	3.1499E+11	2173750016	17390000128	3311132154	3.38123E+11	8336684489	13241669363	111466.8195	662962528	5303700224	NaN	NaN	NaN	2190743081	2173850016	17390800128	NaN	NaN	8337068006	720	NaN	NaN	2750	668762528	5350100224	NaN	100000	800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8	NaN	2.08596117	0.260745146	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	402070280.2	1476000000	NaN	2809043854	10312000000	NaN	NaN	17703078162	64988000000	NaN	NaN	15838463617	NaN	NaN	NaN	198872938.6	NaN	3983110865	NaN	3518166312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.83262907	NaN	NaN	NaN	NaN	NaN	NaN	33943612060	1.24607E+11	49462128951	3.05165E+11	62541221823	99338074029	213583.305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671	1.992397916	0.542739829	NaN	NaN	3
9054444307	11341200384	19371110817	32399699968	1743400	32399699968	7758530048	8653333202	778800	10520500224	30417777317	2737600	41757430894	39065600000	41467777149	3732100	59788879910	56937799680	60813332411	1.20862E+11	1.18729E+11	1253333303	438767956.1	NaN	12823343395	7665831.037	1986248971	NaN	3575270066	91104962419	1.64437E+11	NaN	2397084679	10013345163	0.005105181	NaN	NaN	1.10934E+11	9984100	1.89745E+11	1.86187E+11	1.10934E+11	9984100	2.01255E+11	1.95568E+11	1.69297E+11	2.68905E+11	6347.346545	21409999675	1926900	34654144907	1.9895E+11	1.9424E+11	92857323879	1.05922E+11	9533000	1.92189E+11	1.86731E+11	1.61648E+11	3010	6237.668045	6060.54425	5250	16399777529	1475980	1.9424E+11	-5012222146	-451100	-451100	NaN	NaN	9381510144	NaN	NaN	NaN	-1327855221	9E-05	9.43032E-05	5.89738E-05	0.655264055	4.71191E-05	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	2
206833323.8	NaN	87774072.52	NaN	236990000	NaN	NaN	9114814.654	24610000	29340204.13	7962962.822	21500000	11687267.32	39860807.23	39040740.05	105410000	53592190.19	159119799.4	156329620.9	348594034.4	977791033.9	5579288.494	1049868.786	NaN	28647387.37	NaN	NaN	NaN	-24716695.9	NaN	NaN	NaN	NaN	NaN	49.69971722	NaN	NaN	204485187.5	552110016	406097213.7	1138375293	245896292	663920000	475029380.7	1335862732	472604491.1	750666817.2	20698.53471	34540740.13	93260000	NaN	383179000	NaN	202104422.4	209896292.6	566720000	NaN	NaN	403413690.2	3130	NaN	NaN	6250	3933333.359	10620000.26	NaN	-35999999.36	-97200000	NaN	41411110.38	111810000	195620489.8	12799999.77	34560000	NaN	NaN	2.700000048	2.7	1.404811026	0.520300371	NaN	128.6839276	2
