Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15209388.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50049512.39	3851409.751	NaN	343892685.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	170.0958576	NaN	NaN	NaN	NaN	NaN	NaN	2539759286	2042271237	1615237069	1200659008	NaN	NaN	15415.19885	NaN	NaN	NaN	NaN	NaN	2542922512	2539759286	2042271237	NaN	NaN	NaN	32650	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.80412	NaN	NaN	NaN	NaN	NaN	3
1717444010	31800000000	2130921866	62300000000	1.05859E+11	64100000000	1.425E+11	2602962253	1.29309E+11	1.04084E+11	1034690477	51401000000	NaN	41211450000	1666437801	82784727694	NaN	66447888470	2323646577	NaN	1.03239E+11	NaN	4685473.009	73038813.79	459886526.5	NaN	NaN	87451826.25	NaN	6292973106	NaN	NaN	NaN	50393285020	120.2065349	-0.000610352	25632774952	6593046631	3.27527E+11	NaN	2.73771E+11	6814753581	3.38541E+11	NaN	2.81633E+11	22372285252	22372285252	9417.593473	-1008149656	-50082514170	NaN	NaN	3.00226E+11	6878074190	6825898446	3.39095E+11	NaN	2.82072E+11	22408872945	230	NaN	9432.282606	750	NaN	NaN	3.00557E+11	11144865.62	553650826.3	331080000	221718381.5	11014450000	7862000000	61346364.9	3047543756	NaN	18593285020	49.67765833	49.4945975	15.13216	0.30460695	16.70967	NaN	0
24286248475	2159959864	2515269839	1059917329	2.19229E+11	1059917329	2898353862	2397040466	2.08924E+11	363605767.4	1150487742	1.00275E+11	506903708.6	180284960.4	18942378889	1.651E+12	11218709934	2204342297	6894293383	2468736953	623796136	699891602.7	128151366.5	NaN	2946734578	NaN	14201664738	424335808.3	4294605887	9453081198	NaN	-9390171311	-8965835503	4647979648	77099.69337	-0.000244141	-42136941.01	NaN	NaN	NaN	NaN	28233712738	2.46082E+12	14643778507	3191744200	55314910086	55314910086	193.5678413	11657273420	1.01604E+12	2809543116	NaN	5679763985	20870061865	24202824060	2.1095E+12	NaN	2361962569	47417675783	1270	NaN	143.2445607	2880	7653140040	6.67041E+11	4849982354	-4030888677	-3.51329E+11	-829781631	NaN	NaN	NaN	26755297.71	2331967669	5507732.004	2488019784	87.1591	87.15914167	44.48755296	0.510417764	70.50477382	NaN	2
1865700000	1.63321E+11	1976551564	NaN	1.97403E+11	1.32137E+11	3.64202E+11	1642598198	1.6405E+11	1.04529E+11	NaN	NaN	NaN	NaN	1548941283	1.54697E+11	755987476.4	97974646593	4012838581	2499265121	2.56547E+11	242799608.1	30786746.74	NaN	847200419	38659.7044	117757636.8	22735968.57	489685718.7	7575852725	4663774202	644440212.9	667176181.5	1.75104E+11	170.9052187	10100000000	76507758592	7204378063	7.19519E+11	4280004726	4.5905E+11	8376483740	8.3658E+11	4793518372	4.89499E+11	19169934155	19169934155	155802.218	-38248436.08	-3819965390	NaN	4840700000	5.01282E+11	8111665752	8540849440	8.52996E+11	4892836061	5.0042E+11	19546091949	2580	1557.335305	159277.9947	6220	1420160036	1.41835E+11	5.12202E+11	164365700	16415606746	10920195017	1172105678	1.17061E+11	30449000448	1207100000	1.20556E+11	80197799207	11782875627	99.87245968	99.87025448	43.6402143	0.436959442	55.65376669	NaN	1
1.22071E+11	5.64846E+11	33195644243	1.35636E+11	1.27635E+11	1.42011E+11	3.83907E+11	2520354054	9256000000	10316000000	19159973318	70365000000	NaN	78238000000	1.00502E+11	3.69093E+11	NaN	4.69017E+11	77594828629	NaN	3.56417E+11	NaN	773520078.1	NaN	25218287069	NaN	31818925095	1400882490	NaN	NaN	NaN	NaN	NaN	4.99282E+11	79.36775351	NaN	NaN	1.79236E+11	6.58246E+11	NaN	8.30103E+11	1.80617E+11	6.63316E+11	1.35461E+11	8.3575E+11	2.72055E+11	2.72055E+11	205376.8305	62962561363	2.3123E+11	NaN	NaN	7.70186E+11	1.72049E+11	1.83503E+11	6.73916E+11	NaN	8.48151E+11	2.76403E+11	42280	NaN	208424.2013	67920	NaN	NaN	NaN	2886317305	10600000000	NaN	1380531013	5070000000	5647000000	NaN	NaN	NaN	-65564204766	3.672499895	3.6725	2.438167	0.663898453	2.695741	NaN	3
45922800421	43083112509	39305861894	60458442782	1.14132E+11	60458442782	34301405939	15955708862	46330593629	17308660640	39291633978	1.14091E+11	53958687699	50480320868	60436823250	1.7549E+11	85841677775	81748249184	93330468172	1.89703E+11	1.86355E+11	7517958469	1063160810	NaN	19968540222	383428937.1	18440813461	2808751024	22769389479	1.37782E+11	2.42136E+11	8794619500	11603370524	44810978801	174.5414633	NaN	-2195961753	1.69723E+11	4.92825E+11	2.90865E+11	2.85412E+11	1.83193E+11	5.31939E+11	3.13626E+11	3.04764E+11	4.19049E+11	4.19049E+11	7878.859327	50076191621	1.45406E+11	70968015644	3.1393E+11	3.06491E+11	1.73103E+11	1.76985E+11	5.1391E+11	3.02701E+11	2.94105E+11	4.04846E+11	4480	7825.532802	7603.32026	10470	44351202745	1.28783E+11	2.87273E+11	-6208878876	-18028722296	-19218795831	13470408658	39114027145	19351611127	564280034.5	1638500000	1638500000	1727866292	2.903700113	2.9036575	1.269395503	0.437164808	1.352598214	NaN	2
1411777622	4.84751E+11	1460088706	4.34142E+11	6.83323E+11	4.41402E+11	7.34332E+11	935783609	4.28299E+11	3.84696E+11	663767397.1	3.038E+11	525921633.2	2.8168E+11	2028922196	9.28617E+11	1331938882	5.40209E+11	1514331316	1103625585	4.3359E+11	111716035	29094088.95	NaN	620687364.8	27895353.2	NaN	108029817	821806582.5	4384372996	3111141141	768503358.3	876533175.3	4.89375E+11	157.2392114	-43936200000	-1.09791E+11	4479037121	2.05001E+12	3083072909	1.35849E+12	4900436759	2.24288E+12	3400246575	1.42641E+12	12559496968	12559496968	465242.8643	786316065.5	3.59889E+11	NaN	3386900000	1.43104E+12	4515867897	5032955714	2.30353E+12	3494281476	1.46602E+12	12899134332	1470	1139.704469	478162.3852	4210	1442493947	6.60215E+11	1.48981E+12	132518955.7	60652600832	58771900031	421399637.3	1.9287E+11	1.22267E+11	523661786.5	2.39675E+11	1.56525E+11	4624303088	457.69	457.6869406	178.5804723	0.390177789	196.1886319	100	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
497982076.4	NaN	367188882.4	NaN	991410000	NaN	NaN	17968265.98	48514319	50203642.89	18327335.97	49483808	15338993.64	52315451.7	148522231.8	401010033	151155389.2	448793287.3	721103768	683724219.4	1917816559	27279397.9	2747502.498	NaN	124774440.7	NaN	NaN	NaN	33589480.37	NaN	NaN	NaN	NaN	NaN	99.69806644	NaN	NaN	887594265.8	2396504560	854496696.9	2395332682	1023216486	2762684560	985378773.4	2771051294	1557148205	1557148205	33021.72761	193447595.8	522308518	NaN	NaN	NaN	1006669599	981176247.1	2649175914	NaN	NaN	1493170657	12000	NaN	NaN	17790	159405846.2	430395792.4	NaN	-42040238.52	-113508646	NaN	135622219.8	366180000	376987327.9	7998488.748	21595920	NaN	NaN	2.700000048	2.7	1.774195	0.657109248	2.068029	100	2
