Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63030	350.1666667	0.313039036	21.726	6.793	NaN	75.556	73.09797561	70.757	2.332	NaN	NaN	24.52641599	68.14850071	7.325083294	46.73837128	10.74870792	35.98966336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.032258065	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47414	100.8808511	3.677548312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	4.093567251	NaN	NaN	567000000	NaN	NaN	NaN	NaN	1194000000	NaN	NaN	17160714	26.31083207	2.317679241	51.97	23.364	152.8	40.599	40.77058537	40.934	7.85	NaN	NaN	46.07579769	51.64250459	2.281697722	93.63894297	4.418255351	89.22068761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15	14	NaN	NaN	229	NaN	NaN	49.279	NaN	NaN	NaN	3509.319	NaN	NaN	NaN	20600000	652230	0
NaN	NaN	NaN	NaN	2245000000	NaN	NaN	NaN	65.09473824	1401000000	32.4960491	0.245652387	9065562	7.271646747	3.124908721	52.879	23.869	156.8	42.53	40.78034146	39.114	7.208	NaN	NaN	46.95931703	50.38347319	2.657209779	98.47778183	5.273971028	93.2038108	NaN	NaN	NaN	NaN	1457	NaN	NaN	NaN	NaN	8	44	NaN	NaN	265	NaN	4.54063	NaN	1724000028	2430470105	NaN	4701.094	-215.4870575	NaN	NaN	-214000000	1246700	2
NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2957390	107.9339416	2.270327597	26.138	5.776	41.4	74.187	71.39758537	68.741	3.816	NaN	NaN	34.50640599	60.23639087	5.257203142	66.01260227	8.727619743	57.28498253	NaN	NaN	NaN	NaN	6768	NaN	NaN	NaN	NaN	96	96	4.138800144	NaN	48.4	NaN	NaN	99.845	362610725.8	319090904.5	NaN	7880.383	-3.832630007	NaN	NaN	1400000	27400	1
NaN	NaN	NaN	NaN	16780000000	NaN	NaN	NaN	NaN	6549000000	NaN	NaN	1349000	16.13636364	5.327723605	29.975	3.372	24.9	72.162	70.59417073	69.101	5.065	NaN	NaN	32.06797628	66.58139362	1.350630096	50.19211007	2.028539841	48.16357023	NaN	NaN	NaN	NaN	36257	NaN	NaN	NaN	NaN	76	60	NaN	NaN	29.8	NaN	NaN	98.17	NaN	NaN	NaN	49926.205	-363.6373814	NaN	NaN	NaN	83600	3
NaN	32.70794246	NaN	NaN	8396000000	21.35225038	66.07078805	7.307023528	74.96981937	3814000000	4.716573692	12.1153619	30354240	11.09158874	1.508632617	22.52	8.402	29.3	74.156	70.5865122	67.187	3.093	NaN	NaN	30.94226046	60.59332403	8.464415515	65.03468262	13.96922128	51.06546134	5.300000191	NaN	NaN	NaN	18456	NaN	NaN	NaN	NaN	66	54	NaN	NaN	33.4	NaN	1.36186	100.509	5546666807	10376666929	672.1806511	100596.811	-2.937369104	3154875000	NaN	-5294000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3339147	117.2453301	1.556121994	23.471	6.052	48.7	72.196	69.50441463	66.941	2.481	NaN	NaN	30.15018506	64.44439253	5.405422403	55.17253878	8.387731174	46.78480761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.699199677	NaN	57.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	201000000	NaN	NaN	NaN	NaN	296000000	NaN	NaN	39253	196.265	4.020864144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	98.33666001	NaN	NaN	17000000	NaN	NaN	NaN	NaN	166000000	NaN	NaN	65614	149.1227273	-1.64308575	14.8	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99	69	NaN	NaN	NaN	NaN	NaN	NaN	187199996.7	151681478.8	NaN	249.356	NaN	NaN	NaN	-2700000	440	2
