Time required to build a warehouse (days)	Procedures to build a warehouse (number)	Investment in energy with private participation (current US$)	Investment in telecoms with private participation (current US$)	Investment in transport with private participation (current US$)	Investment in water and sanitation with private participation (current US$)	Scientific and technical journal articles	Patent applications, nonresidents	Patent applications, residents	Trademark applications, aggregate direct	Trademark applications, Madrid	Trademark applications, direct nonresident	Trademark applications, direct resident	Trademark applications, total	CPIA business regulatory environment rating (1=low to 6=high)	CPIA debt policy rating (1=low to 6=high)	CPIA economic management cluster average (1=low to 6=high)	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	CPIA quality of budgetary and financial management rating (1=low to 6=high)	CPIA financial sector rating (1=low to 6=high)	CPIA fiscal policy rating (1=low to 6=high)	CPIA gender equality rating (1=low to 6=high)	CPIA building human resources rating (1=low to 6=high)	IDA resource allocation index (1=low to 6=high)	CPIA macroeconomic management rating (1=low to 6=high)	CPIA quality of public administration rating (1=low to 6=high)	CPIA equity of public resource use rating (1=low to 6=high)	CPIA property rights and rule-based governance rating (1=low to 6=high)	CPIA social protection rating (1=low to 6=high)	CPIA public sector management and institutions cluster average (1=low to 6=high)	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	CPIA structural policies cluster average (1=low to 6=high)	CPIA trade rating (1=low to 6=high)	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)	Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)	Air transport, registered carrier departures worldwide	Air transport, freight (million ton-km)	Air transport, passengers carried	Road sector diesel fuel consumption (kt of oil equivalent)	Road sector diesel fuel consumption per capita (kg of oil equivalent)	Road density (km of road per 100 sq. km of land area)	Road sector energy consumption (kt of oil equivalent)	Road sector energy consumption per capita (kg of oil equivalent)	Road sector energy consumption (% of total energy consumption)	Roads, goods transported (million ton-km)	Roads, paved (% of total roads)	Roads, passengers carried (million passenger-km)	Road sector gasoline fuel consumption (kt of oil equivalent)	Road sector gasoline fuel consumption per capita (kg of oil equivalent)	Roads, total network (km)	Railways, goods transported (million ton-km)	Railways, passengers carried (million passenger-km)	Rail lines (total route-km)	Liner shipping connectivity index (maximum value in 2004 = 100)	Container port traffic (TEU: 20 foot equivalent units)	Motor vehicles (per 1,000 people)	Passenger cars (per 1,000 people)	Vehicles (per km of road)	Mobile cellular subscriptions	Mobile cellular subscriptions (per 100 people)	Telephone lines	Telephone lines (per 100 people)	Fixed broadband Internet subscribers	Fixed broadband Internet subscribers (per 100 people)	Secure Internet servers	Secure Internet servers (per 1 million people)	Internet users	Internet users (per 100 people)	Daily newspapers (per 1,000 people)	Lead time to export, median case (days)	Lead time to import, median case (days)	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)	Logistics performance index: Overall (1=low to 5=high)	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.523655302	NaN	NaN	NaN	NaN	103417	102.3971246	38259	37.88169829	12274	12.15295655	29	287.1400848	25652.984	25.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	0.6	NaN	NaN	NaN	NaN	502	304	806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64560	82.88824979	35444	45.50636812	10341	13.27675637	34	436.5242399	29290.37919	37.60576622	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
334	12	NaN	171100000	NaN	NaN	3.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	27.45942879	NaN	NaN	NaN	37475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1200000	4.345508797	100000	0.362125733	220	0.000796677	1	0.033439267	338045.0412	1.130397829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
321	13	NaN	0	NaN	NaN	3.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2.5	2.5	2.5	2.5	2.5	3	2.5	2.583333333	3	2.5	2.5	2	2.5	2.4	2.5	2.6	2.833333333	4	2.5	NaN	NaN	4948	68.112	239795	214	12.97833267	NaN	533	32.32453886	5.856365441	NaN	NaN	NaN	291	17.64810658	NaN	NaN	NaN	NaN	10.46019494	NaN	NaN	NaN	NaN	1611118	9.770852982	96760	0.586814705	0	0	5	0.303232072	188529.9961	1.143366827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
332	23	NaN	5000000	308000000	NaN	9	386	NaN	NaN	2730	825	147	3702	3.5	4	4	3	4	4	3.5	4	3	3.675	4.5	3	3.5	3	NaN	3.3	3.5	3.4	4	4.5	3	NaN	NaN	4309	0.1	195702	540	171.8759947	NaN	729	232.0325928	32.04067452	NaN	NaN	NaN	171	54.42739831	NaN	26	73	447	0.404675108	NaN	89	63	NaN	1530244	48.70596473	278973	8.879400344	272	0.008657458	1	0.318288879	189886.9632	6.043890864	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
80	19	NaN	NaN	NaN	NaN	229.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3808	935.7762138	NaN	7385	1814.786591	17.08234358	NaN	NaN	NaN	3221	791.5270968	NaN	NaN	NaN	NaN	39.21548334	9851709	279	263	NaN	4534143	111.4218269	1236860	30.39454222	129320	3.177903886	223	54.79992009	1627739.6	40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
367	25	248600000	706600000	NaN	0	3058.4	4215	1054	NaN	NaN	16708	61464	78172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81298	132.558	6938436	6667	172.3577469	NaN	12289	317.6997679	18.3494455	NaN	NaN	NaN	2714	70.16333062	NaN	NaN	6979	35753	24.95187646	1490372	NaN	NaN	NaN	22156426	57.27961101	9441673	24.40896184	926722	2.39579595	418	10.80629042	6854529.687	17.72058337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
183	21	NaN	132000000	NaN	0	179.9	2	206	NaN	2684	364	1088	4136	4	5.5	5.333333333	3.5	4	3.5	5	4.5	4	4.333333333	5.5	4	4.5	3.5	4.5	3.8	4	4.2	4	4.5	2.5	NaN	NaN	5939	7.036	555795	0	0	25	240	78.27906094	9.580650917	55.5	89.97000122	2131.300049	184	60.01394672	7515	654.136	30	732	NaN	NaN	NaN	NaN	NaN	318044	10.37341069	594404	19.38724456	1990	0.064906388	4	1.304651016	161054.0532	5.252983352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.301407868	NaN	NaN	NaN	NaN	NaN	NaN	10400	16.51789969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
134	10	NaN	NaN	NaN	NaN	0.5	NaN	NaN	NaN	1009	NaN	NaN	1009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26985	0.188	778260	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.562247228	NaN	NaN	NaN	NaN	86000	102.4834358	36480	43.47204347	787	0.937842605	71	846.0841794	29132.61666	34.7164029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
