Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2029000000	55000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
142000000	107000	NaN	NaN	NaN	NaN	NaN	2656617649	79.48600006	NaN	-2.130414668	631180340.8	28.61792557	4130613485	123.5879555	NaN	-0.967822604	998764825.9	44.49627492	4130613613	123.5879593	NaN	NaN	998696732.9	NaN	NaN	NaN	29224805824	6787231134	203.0739555	NaN	-1.421287026	1629945167	73.11420049	6787231262	203.0739594	NaN	1629877141	1.27695E-05	7920185640	236.9719543	NaN	1855760790	85.31874476	3144454956	94.08209229	NaN	2.93194225	668139406.8	33.87306334	4.750999928	1.710537229	1047827534	31.35099983	NaN	-4.412735612	208848472.2	11.28752962	85126971.18	2.546998978	16967150.86	1132954506	33.89799881	NaN	3.719413559	225815623.1	12.20454427	1781586020	53.30505371	NaN	-0.552582039	673573614.1	19.1918081	1362868936	40.77703857	-5434207.371	14.68125524	53.06487143	2
NaN	NaN	NaN	965000000	5.165676373	NaN	NaN	205750000	1646000000	NaN	NaN	NaN	8.811091514	1453500032	11628000256	NaN	NaN	NaN	62.24506341	1453374976	11626999808	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1659250032	13274000256	3208924390	9.382253455	3.32959E+11	71.05615492	1659124976	13272999808	NaN	NaN	NaN	2400000000	19200000000	NaN	NaN	102.7782263	418924992	3351399936	NaN	NaN	NaN	17.94015282	NaN	NaN	731750016	5854000128	NaN	NaN	NaN	31.33665301	9000000	72000000	NaN	740750016	5926000128	111290965.6	20.54342606	13764073472	31.72207135	483800000	3870400000	NaN	NaN	NaN	20.71837703	-64875008	-519000064	NaN	-2.778224216	38.65852985	1
618000000	43000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
12000000	95000	NaN	57600000	1.775563838	NaN	NaN	3444365653	145800000	NaN	NaN	NaN	4.494395965	56337114317	2384750080	NaN	NaN	NaN	73.5117362	56337114317	2384750080	NaN	NaN	NaN	NaN	NaN	1.75692E+11	NaN	59781478458	2530550016	1.52772E+11	-5.998671118	1.4633E+11	78.00613019	59781714320	2530560000	1.53541E+11	1.4633E+11	1.743525634	71671577997	3033857936	1.79103E+11	1.74007E+11	93.52082847	10007559520	423620000	13811511488	7.430323651	13960999936	13.05840891	NaN	NaN	11889983498	503303008	25730173824	-21.60156011	27676999680	15.51469828	0	0	0	11889983498	503303008	25730173824	-21.60156011	27676999680	15.51469828	5042239481	213438000	6227374586	-16.51668803	6556069888	6.579388793	4965320039	210182000	7404930048	6.479020115	19.6377977	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	70996295.04	191690000	NaN	NaN	NaN	19.01328093	184829620.4	499039984	NaN	NaN	NaN	49.49860404	184829626.4	499040000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	255825915.5	690729984	NaN	NaN	NaN	68.51188497	255825921.4	690730000	NaN	NaN	NaN	409844425.4	1106579968	NaN	NaN	109.7590683	302470371	816670016	NaN	NaN	NaN	81.00358098	NaN	NaN	154018509.9	415849984	NaN	NaN	NaN	41.24718331	0	0	NaN	154018509.9	415849984	NaN	NaN	NaN	41.24718331	338911093.3	915059968	NaN	NaN	NaN	90.76264925	-36440722.32	-98389952	NaN	-9.759068275	171.7662302	2
