Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant 2000 US$)	Agriculture, value added (annual % growth)	Agriculture, value added (constant LCU)	Agriculture, value added (% of GDP)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (annual % growth)	Manufacturing, value added (constant LCU)	Manufacturing, value added (% of GDP)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (annual % growth)	Industry, value added (constant LCU)	Industry, value added (% of GDP)	Chemicals (% of value added in manufacturing)	Food, beverages and tobacco (% of value added in manufacturing)	Machinery and transport equipment (% of value added in manufacturing)	Other manufacturing (% of value added in manufacturing)	Textiles and clothing (% of value added in manufacturing)	Services, etc., value added (current US$)	Services, etc., value added (current LCU)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (annual % growth)	Services, etc., value added (constant LCU)	Services, etc., value added (% of GDP)	Adjusted savings: education expenditure (current US$)	Adjusted savings: education expenditure (% of GNI)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: carbon dioxide damage (% of GNI)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: net forest depletion (% of GNI)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: consumption of fixed capital (% of GNI)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: mineral depletion (% of GNI)	Adjusted savings: energy depletion (current US$)	Adjusted savings: energy depletion (% of GNI)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: particulate emission damage (% of GNI)	Adjusted savings: natural resources depletion (% of GNI)	Adjusted savings: gross savings (% of GNI)	Adjusted savings: net national savings (current US$)	Adjusted savings: net national savings (% of GNI)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net national income (annual % growth)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, including particulate emission damage (% of GNI)	Adjusted net savings, excluding particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (% of GNI)	Exports as a capacity to import (constant LCU)	Coal rents (% of GDP)	Inflation, GDP deflator (annual %)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	Forest rents (% of GDP)	Mineral rents (% of GDP)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	Natural gas rents (% of GDP)	GDP per capita (current US$)	GDP per capita (constant 2000 US$)	GDP per capita growth (annual %)	GDP per capita (constant LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2005 international $)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9268452.4	0.827540375	NaN	NaN	141655560.9	12.64781767	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.649798797	96.71788029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	1083240282	1939000064	1291009346	3.999586724	2004800000	NaN	NaN	NaN	14926.21612	17789.11366	-2.143830639	27624.59868	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	133342142	13.2403284	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.537241081	119.2888174	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	1007090896	770273984	868684527.5	-1.031491714	645721871.5	NaN	NaN	NaN	16599.48733	14318.18901	-5.767037775	10643.18232	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7196003.416	NaN	47964452.75	NaN	NaN	NaN	0	NaN	7226013.775	NaN	NaN	1.384434494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
610895700.6	3113.399902	262190012.5	-46.6	93126711.42	11.55773601	298835415	1523	197139100.2	-5.8	70114331.94	5.653765177	2706668001	13794.40039	3676992344	-17.69270503	722485009.3	51.20833918	NaN	NaN	NaN	NaN	NaN	1968036348	10030.00049	1828950832	-28.31675128	462136097.9	37.23392481	143125893.9	4.418226424	30357539.75	0.937122421	0	0	409362445.8	12.63681872	0	0	1696057377	52.35646266	55788192.97	1.722154263	52.35646266	-41.82998443	-1765479006	-54.49947442	1134022437	NaN	NaN	-3403497854	-105.0643161	-3347709661	-103.3421618	NaN	NaN	1253.280568	0.002108225	4107.418457	NaN	4919511951	25072.05078	NaN	1250325244	1.280055544	0	5285600050	26937.80078	5862329456	-24.7	1277747819	17255100847	22144163585	0.498917495	464.8009366	515.5169131	-27.14233755	112.3615819	1517.365476	1947.296026	2
671030006.8	68487000064	760560491.6	10.40693784	76720496640	54.64097648	NaN	NaN	NaN	NaN	NaN	NaN	281249228.9	28704999424	334120692.8	2.470840093	43301453824	22.90170685	NaN	NaN	NaN	NaN	NaN	275791801.8	28148000768	1012096698	15.54517471	1.03891E+11	22.45731667	NaN	NaN	12261989.82	1.008328172	0	0	91350387.67	7.511926753	2689836.897	0.221190717	35453238.99	2.915391398	3033874.005	0.249481583	3.136582115	10.66619067	38099685.26	3.133014016	1086577868	1618157199	43.3739969	NaN	NaN	NaN	NaN	21120968031	0	114.8356475	53.28813122	5824	-7373873071	1228071037	1.2534E+11	2087672960	2.23913E+11	0.623686034	0.35051258	1228071037	1.2534E+11	2303357907	9.6	2.35212E+11	7177709260	9211442616	0.37485792	380.8089109	714.2414315	11.03017947	72936.14652	2225.714606	2856.34896	1
823753744.7	3024000000	NaN	NaN	NaN	1.480901077	4363116313	16017000000	NaN	NaN	NaN	7.843780607	28635794032	1.05122E+11	NaN	NaN	NaN	51.47992165	NaN	NaN	NaN	NaN	NaN	26165622419	96054000000	NaN	NaN	NaN	47.03917728	NaN	NaN	345273838.6	NaN	NaN	NaN	7755701957	NaN	0	NaN	7386958172	NaN	NaN	1.517999084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.278036308	47.37353828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	55625170196	2.042E+11	69864671839	1.261190949	4.31042E+11	1.09335E+11	1.40314E+11	2.662828331	26217.21512	32928.56677	-3.874594013	203158.5571	51531.64075	66132.62456	3
12161619309	12148849664	10778993736	6.040520576	12148850090	5.492024807	43183640481	43138297856	46110759723	4.645428456	43138297938	19.50115513	64725439047	64657477632	67895110748	6.311312308	64657478461	29.22914357	9.549675367	26.77474369	15.2453722	39.31427382	9.115934928	1.44554E+11	1.44403E+11	1.46997E+11	5.79255265	1.44403E+11	65.2788256	7627231844	3.263943445	620679281.3	0.265609085	0	0	28187772757	12.06247535	3423334.5	0.001464957	3160438674	1.352455688	3727210135	1.594995843	1.353920646	15.79255916	8701868939	3.723816014	2.0233E+11	2.0692E+11	6.630220343	8831996031	3.779501678	12559206166	5.374497521	16340960351	0	-1.466659949	99.99999707	0	1493945488	2.21441E+11	2.21209E+11	2.25435E+11	2.21209E+11	0.100360631	0.00231395	2.36754E+11	2.36505E+11	2.43383E+11	5.906919494	2.36505E+11	2.53396E+11	3.25194E+11	0.55135806	6967.021353	7162.093421	4.529364286	6959.706216	7456.770497	9569.573112	2
591715987.7	2077810048	375389922.1	-5.79999774	2.10371E+11	51.36559092	263283578.6	924520000	254399006.6	8.900005048	1.36254E+11	22.8550806	310448631.4	1090140032	432207358.3	0.684444546	1.75295E+11	26.94937729	NaN	NaN	NaN	NaN	NaN	249804972.1	877189888	372067027.8	-22.6886605	1.46177E+11	21.68503179	38701839.83	3.510123967	15332284.61	1.390585562	0	0	88138605.91	7.99386888	170241.014	0.015440275	0	0	28013649.94	2.540741848	0.015440275	-7.935916589	-175895088	-15.95308044	1014268731	1293152427	-1.530933518	-180452578.6	-16.36642919	-152438928.6	-13.82568734	3.37905E+11	NaN	1391.166461	0.760996014	-292049984	32250568704	1151969591	4045139968	1207006273	5.31843E+11	0	0.022678227	1201313196	4218409984	1321391353	-8.799998792	5.54327E+11	3803220506	4880825647	0	356.4333077	392.0608648	-6.646969885	164470.6607	1128.427182	1448.15593	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
15862962.68	42830000	12747736.82	3.873851502	44322886.91	4.095350891	9444444.278	25500000	11112055.05	-4.992548435	37898977.79	2.438278023	70474072.83	190280000	73344509.6	-5.945504087	217766126.3	18.19433499	NaN	NaN	NaN	NaN	NaN	301003710.2	812710032	475125398.8	8.034645849	1332705982	77.71031412	16021664.45	3.694717887	1611904.765	0.37171752	NaN	NaN	54386246.62	12.54188282	0	0	0	0	NaN	NaN	NaN	33.25617623	89796704.22	20.70780413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.224074664	68.73125734	0	NaN	387340745.8	1045820032	556242270.5	1559263242	NaN	0	456537023	1232649984	637740684.1	5.390102213	1793434358	785288218.9	1007791916	NaN	6998.022978	9775.6014	3.070285745	27490.63978	12037.28224	15447.92783	2
