Oil rents (% of GDP)	Total natural resources rents (% of GDP)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic savings (% of GDP)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI growth (annual %)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita growth (annual %)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross savings (% of GNI)	Gross savings (% of GDP)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Literacy rate, youth female (% of females ages 15-24)	Ratio of young literate females to males (% ages 15-24)	Literacy rate, youth male (% of males ages 15-24)	Literacy rate, youth total (% of people ages 15-24)	Literacy rate, adult female (% of females ages 15 and above)	Literacy rate, adult male (% of males ages 15 and above)	Literacy rate, adult total (% of people ages 15 and above)	Ratio of female to male primary enrollment (%)	Ratio of girls to boys in primary and secondary education (%)	Ratio of female to male secondary enrollment (%)	Ratio of female to male tertiary enrollment (%)	School enrollment, preprimary (% gross)	School enrollment, preprimary, female (% gross)	School enrollment, preprimary, male (% gross)	Primary school starting age (years)	Primary completion rate, female (% of relevant age group)	Primary completion rate, male (% of relevant age group)	Primary completion rate, total (% of relevant age group)	Primary education, duration (years)	Primary education, pupils	Primary education, pupils (% female)	Pupil-teacher ratio, primary	School enrollment, primary (% gross)	School enrollment, primary, female (% gross)	School enrollment, primary, male (% gross)	Gross intake rate in grade 1, female (% of relevant age group)	Gross intake rate in grade 1, male (% of relevant age group)	Gross intake rate in grade 1, total (% of relevant age group)	School enrollment, primary (% net)	School enrollment, primary, female (% net)	School enrollment, primary, male (% net)	Net intake rate in grade 1, female (% of official school-age population)	Net intake rate in grade 1, male (% of official school-age population)	Net intake rate in grade 1 (% of official school-age population)	School enrollment, primary, private (% of total primary)	Persistence to grade 5, female (% of cohort)	Persistence to grade 5, male (% of cohort)	Persistence to grade 5, total (% of cohort)	Persistence to last grade of primary, female (% of cohort)	Persistence to last grade of primary, male (% of cohort)	Persistence to last grade of primary, total (% of cohort)	Income
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	1294837532	1180646037	1038925571	NaN	NaN	NaN	NaN	19950	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.879963629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
46.19588488	47.62074096	1986943872	453486823.1	NaN	25.88712788	NaN	NaN	6056258188	6413146828	1463693878	NaN	NaN	NaN	21408164953	470	NaN	NaN	NaN	1670	819258111.1	186982009.6	12.77466637	10.67379899	NaN	-1262265761	-288091122.3	-288091122.3	NaN	NaN	NaN	121628347.5	27759643.18	24192733.33	NaN	0.228233333	0.229040083	0.068370824	0.299565462	0.151493586	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
1.783663149	2.106524871	-208052414.3	-30521289184	NaN	-9.473188593	2734600000	2.83182E+11	2487465085	2245823714	3.29462E+11	2825716764	-10.35360939	2.89003E+11	9556552383	800	913.9089026	-9.753580003	93470.92873	3090	106147585.7	15571850816	4.726443354	4.833186391	NaN	49600000	7276320000	NaN	181390598.3	26610000768	17380481120	264600000	38816820000	33301764832	421953422.5	146.7	148.9329167	34.47502045	0.235003548	47.79855519	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	125.862	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
16.08467353	19.41445788	NaN	NaN	NaN	NaN	53781000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671125	1.872254676	0.510012169	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.574	103.531	110.508	NaN	61.08768	60.49704	61.6434	6	91.1692	89.96543	90.55041	6	259509	48.0492	16.07066	98.94651	98.21361	99.63418	98.32471	99.2965	98.82637	86.88842	87.12272	86.66859	NaN	NaN	NaN	41.70414	88.7424	86.03986	87.34065	84.44007	81.78862	83.06481	3
1.619340457	2.396959474	50155356160	50155356160	50742992895	17.12611711	2.8592E+11	2.79145E+11	2.9057E+11	2.86715E+11	2.86715E+11	2.79521E+11	8.01154635	2.71584E+11	3.15195E+11	8140	7826.448957	6.717715759	7604.2104	8830	44525826575	44525826575	15.52967374	15.20385017	2.73001E+11	-6144376294	-6144376294	-6144376294	19766671360	19766671360	17145901972	514857571.8	514857571.8	514857571.8	1703847028	1	0.9995	0.909642117	0.909642117	1.029830274	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.053	103.03	109.687	NaN	54.71068	55.51234	53.9353	6	94.50475	90.21366	92.32595	7	5153256	49.2139	16.66847	108.83466	108.86383	108.80641	114.73786	113.71166	114.21638	100	NaN	NaN	NaN	NaN	NaN	20.94272	88.10746	86.49639	87.29238	78.47539	75.46011	76.94988	2
0	0.588090151	-310448409.7	-1.52306E+11	NaN	-18.93564161	1628700000	6.83224E+11	1747584373	1738092424	8.52708E+11	1727291647	6.615927696	7.24684E+11	5381868754	560	550.9990466	7.886169037	231171.3479	1720	5371590.328	2635302248	0.309050903	0.327637398	NaN	98600000	48373160602	NaN	131053806	64294998016	55227998208	217200000	1.06558E+11	91362517950	55886116.69	490.6000061	490.8467858	158.4409046	0.322953328	187.1911005	93.80333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	118.588	27.45551	34.30909	20.86989	7	NaN	NaN	95.58373	4	256475	NaN	18.83076	94.50352	NaN	NaN	NaN	NaN	96.67514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.37889	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	0	192633329.9	520110000	NaN	33.22112996	586792000	NaN	550676139.6	557696274.6	1505779968	NaN	NaN	NaN	933094462.6	7610	NaN	NaN	NaN	12900	180259256.2	486700000.5	32.32211949	31.08712381	NaN	-22155555.16	-59820000	NaN	92496294.66	249740000	283744790.8	9781481.309	26410000	NaN	NaN	2.700000048	2.7	1.613748692	0.59768469	NaN	102.3891468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
