Repeaters, primary, female (% of female enrollment)	Repeaters, primary, male (% of male enrollment)	Repeaters, primary, total (% of total enrollment)	Trained teachers in primary education, female (% of female teachers)	Trained teachers in primary education, male (% of male teachers)	Trained teachers in primary education (% of total teachers)	Primary education, teachers	Primary education, teachers (% female)	Total enrollment, primary (% net)	Total enrollment, primary, female (% net)	Total enrollment, primary, male (% net)	Children out of school, primary	Children out of school, primary, female	Children out of school, primary, male	Secondary school starting age (years)	Secondary education, duration (years)	Secondary education, pupils	Secondary education, pupils (% female)	Secondary education, general pupils	Secondary education, general pupils (% female)	Pupil-teacher ratio, secondary	Secondary education, vocational pupils	Secondary education, vocational pupils (% female)	School enrollment, secondary (% gross)	School enrollment, secondary, female (% gross)	School enrollment, secondary, male (% gross)	School enrollment, secondary (% net)	School enrollment, secondary, female (% net)	School enrollment, secondary, male (% net)	School enrollment, secondary, private (% of total secondary)	Progression to secondary school, female (%)	Progression to secondary school, male (%)	Progression to secondary school (%)	Repeaters, secondary, female (% of female enrollment)	Repeaters, secondary, male (% of male enrollment)	Repeaters, secondary, total (% of total enrollment)	Secondary education, teachers	Secondary education, teachers, female	Secondary education, teachers (% female)	School enrollment, tertiary (% gross)	School enrollment, tertiary, female (% gross)	School enrollment, tertiary, male (% gross)	Tertiary education, teachers (% female)	Expenditure per student, primary (% of GDP per capita)	Expenditure per student, secondary (% of GDP per capita)	Expenditure per student, tertiary (% of GDP per capita)	Public spending on education, total (% of government expenditure)	Public spending on education, total (% of GDP)	Female legislators, senior officials and managers (% of total)	Proportion of seats held by women in national parliaments (%)	Condom use, population ages 15-24, female (% of females ages 15-24)	Condom use, population ages 15-24, male (% of males ages 15-24)	Women's share of population ages 15+ living with HIV (%)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, female child (per 1,000 female children age one)	Mortality rate, male child (per 1,000 male children age one)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Improved water source, rural (% of rural population with access)	Improved water source, urban (% of urban population with access)	Improved water source (% of population with access)	Children (0-14) living with HIV	Prevalence of HIV, female (% ages 15-24)	Prevalence of HIV, male (% ages 15-24)	Antiretroviral therapy coverage (% of people with advanced HIV infection)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Community health workers (per 1,000 people)	Nurses and midwives (per 1,000 people)	Physicians (per 1,000 people)	Notified cases of malaria (per 100,000 people)	Use of insecticide-treated bed nets (% of under-5 population)	Children with fever receiving antimalarial drugs (% of children under age 5 with fever)	Number of maternal deaths	Lifetime risk of maternal death (1 in: rate varies by country)	Lifetime risk of maternal death (%)	Smoking prevalence, females (% of adults)	Smoking prevalence, males (% of adults)	Improved sanitation facilities (% of population with access)	Improved sanitation facilities, rural (% of rural population with access)	Improved sanitation facilities, urban (% of urban population with access)	Pregnant women receiving prenatal care (%)	ARI treatment (% of children under 5 taken to a health provider)	Exclusive breastfeeding (% of children under 6 months)	Births attended by skilled health staff (% of total)	Low-birthweight babies (% of births)	Malnutrition prevalence, weight for age (% of children under 5)	Maternal mortality ratio (modeled estimate, per 100,000 live births)	Maternal mortality ratio (national estimate, per 100,000 live births)	Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)	Prevalence of overweight (% of children under 5)	Malnutrition prevalence, height for age (% of children under 5)	Prevalence of wasting (% of children under 5)	Tuberculosis treatment success rate (% of registered cases)	Tuberculosis case detection rate (%, all forms)	Incidence of tuberculosis (per 100,000 people)	Newborns protected against tetanus (%)	Outpatient visits per capita	External resources for health (% of total expenditure on health)	Income
7.5194	9.28746	8.42838	100	100	100	594	82.82828	98.67961	97.78551	99.56766	121	101	20	12	5	7853	50.88501	6339	53.76242	14.46225	1514	38.83752	98.95413	99.57638	98.31761	77.69657	78.27062	77.10936	92.2832	NaN	NaN	NaN	11.50235	12.14603	11.79997	543	307	56.53775	31.82661	36.46532	27.00029	50	11.88617	17.15676	28.48613	17.30738	4.81462	40.25022659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2.53589	3.29482	2.93653	100	100	100	432	76.85185	84.01957	83.89867	84.12883	875	442	433	12	6	3819	49.43703	3574	49.38444	NaN	245	50.20408	84.3605	87.65088	81.37379	73.49238	75.99814	71.21787	3.116	NaN	NaN	NaN	8.2153	12.65893	10.46447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.08287	13.46356	NaN	NaN	2.56318	NaN	28.6	NaN	NaN	NaN	NaN	NaN	NaN	3.9	1.1	100	100	100	NaN	NaN	NaN	NaN	96	94	2.6162	NaN	4.18	3.716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	62	9.9	NaN	NaN	0	3
NaN	NaN	NaN	NaN	NaN	NaN	110312	27.69055	NaN	NaN	NaN	NaN	NaN	NaN	13	6	1035782	26.06118	1028382	26.16887	31.56236	7400	11.09459	25.645	13.87229	36.58987	24.0773	13.07625	34.30479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32817	9053	27.58631	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.3	NaN	NaN	NaN	NaN	NaN	NaN	113.4	38.6	42	78	50	NaN	NaN	NaN	NaN	63	55	0.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37	30	60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87	52	189	73	NaN	26.28311643	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	6	581540	NaN	428552	NaN	NaN	152988	NaN	23.80386	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15	NaN	NaN	NaN	1.9	NaN	NaN	172	45.2	39	58	50	21000	NaN	NaN	15	83	88	NaN	NaN	NaN	NaN	NaN	17.7	29.3	NaN	NaN	NaN	NaN	NaN	54	17	83	79.8	NaN	NaN	47.3	NaN	15.6	NaN	NaN	NaN	NaN	29.2	8.2	74	82	287	81	NaN	4.129611348	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.1	NaN	NaN	NaN	NaN	NaN	NaN	17.8	8.7	94	97	95	NaN	NaN	NaN	NaN	98	97	2.9153	NaN	4.03	1.146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91	88	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85	86	16	87	NaN	4.186388587	1
1.70542	2.04393	1.8797	100	100	100	16523	84.50039	NaN	NaN	NaN	NaN	NaN	NaN	11	7	311013	48.74812	309476	48.99023	12.87732	1537	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.77835	NaN	NaN	NaN	3.12506	6.50691	4.85013	24152	13371	55.36187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.83315	0.72819	NaN	22.5	NaN	NaN	NaN	NaN	NaN	NaN	8.2	4.9	100	100	100	NaN	NaN	NaN	NaN	92	92	1.86	NaN	4.09	1.93	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97	95	98	100	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	64	46	3.9	NaN	NaN	0	3
4.8926	7.31172	6.13122	NaN	NaN	NaN	302654	87.26037	NaN	NaN	NaN	NaN	NaN	NaN	12	6	3483089	52.31979	NaN	NaN	12.18869	NaN	NaN	84.67537	89.98635	79.52509	NaN	NaN	NaN	28.17361	NaN	NaN	NaN	NaN	NaN	NaN	285764	196172	68.64826	66.71943	80.77059	53.04424	51.7663	14.63957	21.85452	15.59024	13.53539	4.92687	NaN	NaN	NaN	NaN	NaN	0.4	NaN	NaN	16.1	8.6	80	98	97	NaN	NaN	NaN	71	96	98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90	77	91	NaN	NaN	NaN	99.4	7.1	NaN	NaN	44	NaN	NaN	NaN	NaN	62	80	31	NaN	NaN	0.120642155	2
0.17435	0.17082	0.17249	NaN	NaN	NaN	6606	99.68211	96.17832	97.5694	94.9629	4343	1288	3055	10	7	336877	49.68609	335065	49.77512	7.76715	1812	33.22296	90.29715	92.27788	88.42285	86.20898	88.29471	84.23532	1.44237	98.21127	99.86812	99.07564	0.19367	0.29058	0.24234	43372	36446	84.03117	34.12168	37.2048	31.01797	47.33647	NaN	NaN	NaN	14.9787	3.01894	NaN	9.2	NaN	NaN	NaN	0.1	NaN	NaN	21.1	12.9	92	99	96	NaN	NaN	NaN	11	88	92	4.0682	NaN	4.87	3.697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90	80	95	NaN	NaN	NaN	99.9	7.4	NaN	NaN	15	NaN	NaN	NaN	NaN	70	76	72	NaN	NaN	17.30252464	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.80952	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	75	6.1	NaN	NaN	NaN	2
1.69671	2.41922	2.06587	67.00201	70.73171	67.28625	538	92.37918	73.99734	NaN	NaN	2937	1478	1459	12	5	7838	51.13549	NaN	NaN	NaN	NaN	NaN	102.87439	102.01069	103.79404	NaN	NaN	NaN	18.98443	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.5	NaN	NaN	NaN	NaN	NaN	NaN	9.7	5.2	NaN	95	NaN	NaN	NaN	NaN	NaN	99	99	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	100	NaN	NaN	100	5.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50	72	3.2	NaN	NaN	0.162168778	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.82514	97.1656	96.50186	60190	26172	34018	12	6	2189319	48.19389	1501992	50.01771	NaN	687326	44.06256	125.92483	124.7798	127.00905	84.14453	85.20857	83.13699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.05897	81.24695	63.2897	NaN	16.40304	16.65215	20.21004	13.71192	4.45482	35.34231315	24.7	NaN	NaN	NaN	0.1	NaN	NaN	5.3	3	100	100	100	NaN	NaN	NaN	NaN	92	94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	85	86	6.2	NaN	NaN	0	3
0	0	0	NaN	NaN	NaN	29274	89.33183	NaN	NaN	NaN	NaN	NaN	NaN	10	8	777792	47.76727	476624	50.08875	10.84635	301168	44.09333	99.44473	97.39225	101.39895	NaN	NaN	NaN	9.67868	99.39676	100	99.70543	0	0	0	71710	44416	61.93836	50.93	55.73388	46.3025	32.05639	22.98922	26.34749	47.08546	11.05724	5.33394	26.72714475	32.2	NaN	NaN	NaN	0.3	NaN	NaN	4.6	2.7	100	100	100	NaN	NaN	NaN	NaN	85	79	7.8	NaN	6.642	3.794	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	100	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88	11	NaN	NaN	0	3
