Out-of-pocket health expenditure (% of total expenditure on health)	Out-of-pocket health expenditure (% of private expenditure on health)	Health expenditure per capita (current US$)	Health expenditure per capita, PPP (constant 2005 international $)	Health expenditure, private (% of GDP)	Health expenditure, public (% of total health expenditure)	Health expenditure, public (% of government expenditure)	Health expenditure, public (% of GDP)	Health expenditure, total (% of GDP)	Income share held by second 20%	Income share held by third 20%	Income share held by fourth 20%	Income share held by highest 20%	Income share held by highest 10%	Income share held by lowest 10%	Income share held by lowest 20%	Poverty headcount ratio at $2 a day (PPP) (% of population)	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	Poverty gap at $2 a day (PPP) (%)	Poverty gap at $1.25 a day (PPP) (%)	GINI index	Poverty gap at national poverty line (%)	Poverty headcount ratio at national poverty line (% of population)	Poverty gap at rural poverty line (%)	Poverty headcount ratio at rural poverty line (% of rural population)	Poverty gap at urban poverty line (%)	Poverty headcount ratio at urban poverty line (% of urban population)	Child employment in agriculture, female (% of female economically active children ages 7-14)	Child employment in agriculture, male (% of male economically active children ages 7-14)	Child employment in agriculture (% of economically active children ages 7-14)	Employees, agriculture, female (% of female employment)	Employees, agriculture, male (% of male employment)	Employment in agriculture (% of total employment)	Employment to population ratio, ages 15-24, female (%)	Employment to population ratio, ages 15-24, male (%)	Employment to population ratio, ages 15-24, total (%)	Share of women employed in the nonagricultural sector (% of total nonagricultural employment)	Employers, female (% of employment)	Employers, male (% of employment)	Employers, total (% of employment)	Self-employed, female (% of females employed)	Self-employed, male (% of males employed)	Self-employed, total (% of total employed)	Employment to population ratio, 15+, female (%)	Employment to population ratio, 15+, male (%)	Employment to population ratio, 15+, total (%)	Vulnerable employment, female (% of female employment)	Vulnerable employment, male (% of male employment)	Vulnerable employment, total (% of total employment)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
25.12838675	74.23877786	1390.029647	10.26198582	2.48856357	66.15193908	20.77702145	4.863596354	7.352159924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
77.94000865	98.94050161	14.61762893	20.06776308	6.009337744	21.22537547	28.47505479	1.619181948	7.628519691	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.600000381	52	31.70000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.19999981	75.5	45.09999847	NaN	NaN	NaN	0
25.8001561	100	8.581016656	42.3026886	0.5	74.1998439	2.366280817	1.437972771	1.937972771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46	47.59999847	46.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.40000153	69.59999847	65.90000153	NaN	NaN	NaN	2
56.64300889	99.85697448	65.08470904	221.1283126	3.309153411	43.27586112	7.185329759	2.524612383	5.833765794	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.09999847	35.29999924	42.29999924	38.70000076	29.2	NaN	NaN	NaN	NaN	NaN	NaN	42.79999924	63	52.79999924	NaN	NaN	NaN	1
15.78813657	69.41523437	677.6952255	872.965098	0.855971445	77.25551644	7.935567225	2.90745296	3.763424405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.5	60.90000153	45.20000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.20000076	90.09999847	74.09999847	NaN	NaN	NaN	3
27.81995662	64.04494382	706.955029	812.5032213	3.955234354	56.56182213	15.05981848	5.15019904	9.105433393	7.94	13.09	21.29	54.15	37.01	1.09	3.53	8.52	4.21	3.77	2.39	49.81	NaN	NaN	NaN	NaN	NaN	26.7	NaN	NaN	NaN	0.200000003	1.100000024	0.699999988	22.60000038	40	31.39999962	42.1	2.5	5.800000191	4.5	24.10000038	29.89999962	27.60000038	35	65.40000153	49.70000076	21.60000038	24	23.10000038	2
60.33388137	80.93009274	37.83454631	116.3525322	4.723356476	25.44938561	6.872972337	1.612414885	6.33577136	11.7	15.59	21.13	43.98	29.57	3.12	7.6	48.81	18.03	15.26	4.12	36.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.60000038	36.79999924	28.39999962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.79999924	53.20000076	44.20000076	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
26.73147023	86.95652174	406.4197531	562.2189546	1.437475498	69.25880923	11.84538653	3.238581161	4.676056658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
