Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.5738	NaN	NaN	84.6652	NaN	13.103	7.017	NaN	NaN	76.465	73.966	71.586	1.805	85.9479085	76.5125928	NaN	NaN	NaN	22.36387097	69.504	8.132129032	43.87661142	11.70023169	32.17637973	2.380629581	NaN	NaN	96875	52.48516129	NaN	NaN	NaN	51691.3375	2.4192436	53.3588	2.336472372	45183.6625	46.6412	NaN	642000	NaN	858100000	27.68184243	100000	25000000	858000000	188000000	213000000	6.816475249	NaN	87.54339962	3
NaN	NaN	NaN	10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.3	NaN	NaN	3.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.475209738	NaN	NaN	72203	NaN	NaN	NaN	NaN	6400.79595	9.328848665	8.865	4.015413646	65802.20405	91.135	NaN	3138000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	146.6255004	3
NaN	NaN	22	2136043	NaN	NaN	NaN	NaN	NaN	86	152.6778	NaN	NaN	398.7224	NaN	48.176	18.216	10.3	88.4	46.179	46.09243902	46.01	7.294	33.235315	31.3358509	NaN	NaN	NaN	47.98009536	49.81726056	2.202644081	100.7336391	4.42144762	96.31219145	2.877039489	NaN	NaN	28255719	48.22762017	4.3	11.5	6	22219619.28	2.506598008	78.6376	4.060040942	6036099.716	21.3624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.10323229	178.172239	0
NaN	NaN	13382	329583	NaN	NaN	NaN	NaN	NaN	68	194.9814	NaN	NaN	366.4214	NaN	48.391	17.388	NaN	112.1	48.785	47.39336585	46.068	6.533	40.4674013	34.143091	NaN	NaN	NaN	47.72006895	49.8247918	2.455139255	100.7032973	4.927545437	95.77575185	3.4939992	NaN	NaN	15419943	50.6066366	NaN	NaN	NaN	7407648.098	1.451690654	48.0394	5.420027842	8012294.902	51.9606	NaN	107000	NaN	63000000	0.648865067	14000000	37000000	49000000	12000000	49000000	0.556738775	107.3926044	178.3353047	2
NaN	NaN	26	10385	NaN	NaN	NaN	NaN	NaN	NaN	17.4536	NaN	NaN	51.9814	NaN	14.675	5.835	NaN	19.8	78.775	75.54202439	72.463	1.941	89.4909051	80.3054301	NaN	NaN	NaN	27.7510685	64.22318587	8.02574563	55.70700618	12.49664824	43.21035794	0.54621478	NaN	NaN	3106701	50.1172948	NaN	NaN	NaN	1715557.573	-1.270891428	55.2212	2.833513096	1391143.427	44.7788	NaN	557000	1350000	537000000	46.01868429	15000000	18000000	522000000	489000000	507000000	19.60497309	40.90493676	161.3839153	1
NaN	NaN	160	20	NaN	NaN	NaN	NaN	NaN	NaN	25.295	NaN	NaN	80.3896	NaN	15.824	1.681	NaN	8.9	76.253	75.26087805	74.316	2.301	88.1231296	84.6270665	NaN	NaN	NaN	22.06261701	76.93710689	1.000276098	29.97629367	1.300121799	28.67617187	4.39601104	NaN	NaN	3400959	32.10783658	NaN	NaN	NaN	630823.4792	2.234975526	18.5484	4.894725904	2770135.521	81.4516	NaN	5871000	NaN	1438000000	NaN	NaN	NaN	NaN	NaN	3956000000	NaN	95.86833941	161.5699175	3
NaN	NaN	2642	784	NaN	NaN	NaN	NaN	NaN	NaN	59.9408	NaN	NaN	83.3896	NaN	17.958	7.757	NaN	16.4	78.196	74.34429268	70.676	2.341	85.8598929	72.6248424	NaN	NaN	NaN	26.97144152	62.97546918	10.0530893	58.79198886	15.96350044	42.82848842	0.909119147	720.1605021	169.1523261	38001251	51.05949135	NaN	NaN	NaN	3466018.101	-1.809914957	9.1208	1.186133434	34535232.9	90.8792	NaN	2995000	3088000	2306000000	6.695953478	300000000	486000000	2006000000	2511000000	2997000000	15.91844995	33.48840289	58.4082986	2
NaN	NaN	239289	13162	NaN	NaN	NaN	NaN	NaN	NaN	37.458	NaN	NaN	88.0072	NaN	14.14	8.348	NaN	22.8	75.706	72.27839024	69.014	1.704	83.1830928	69.5098358	NaN	NaN	NaN	23.33199262	65.21520784	11.45279954	53.33846707	17.56154726	35.77691982	-0.016760267	NaN	NaN	3060554	53.21365126	NaN	NaN	NaN	1090267.273	0.254216709	35.6232	-0.166391649	1970286.727	64.3768	NaN	206000	169000	90000000	9.961354444	17000000	30000000	73000000	67000000	97000000	6.899453709	70.00560351	141.3789546	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.804782469	394.9057163	NaN	60774	NaN	NaN	NaN	NaN	5909.542212	-3.242652444	9.7238	2.363965038	54864.45779	90.2762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	125.9463238	2
NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	191	NaN	NaN	NaN	NaN	10.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.490568396	NaN	NaN	81716	NaN	NaN	NaN	NaN	56195.6029	1.926010646	68.7694	0.538362349	25520.3971	31.2306	NaN	239000	NaN	300000000	61.34207662	NaN	NaN	300000000	35000000	35000000	6.449532259	53.93625048	105.379064	2
