Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.34473015	NaN	NaN	NaN	545000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.25164386	37.01610624	197709497.2	9.72025996	32.91890365	NaN	NaN	NaN	NaN	NaN	NaN	3.950480414	NaN	NaN	NaN	17000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.795415002	3.021064302	604692737.4	NaN	NaN	18.08388766	74.94456763	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.504776818	391000000	60.65119561	26.49447942	14.9223251	11.40047185	0.062199001	0.022796919	12.85432496	NaN	1.53515E-08	390842287.8	12.85432496	68.18181818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.220383202	105000000	63.22259235	25.21208956	14.44143054	10.2747189	0.158904339	0.323174195	11.56093532	0.013861591	0.004382775	104608391.6	11.56093532	90.81081081	NaN	NaN	NaN	NaN	NaN	NaN	8829	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.544759366	NaN	NaN	0.158162798	1454000000	69.46247144	21.09560532	NaN	NaN	11.96902711	0.158162798	0.053403014	9.44192329	-4.82577E-08	1450546468	9.44192329	47.83994789	69.32362846	1425400000	21.99298443	6.138627754	68.57142857	79.34368678	NaN	NaN	NaN	NaN	10.07656458	NaN	NaN	0.000336976	3018000000	94.22402301	4.565762746	NaN	NaN	2.694339538	0.000336976	NaN	1.210214243	-1.70435E-09	2933675608	1.210214243	38.08496966	68.49201065	150200000	NaN	NaN	21.43142477	NaN	3974	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.369734789	NaN	NaN	0.089507839	607000000	82.64864226	0.54033776	NaN	16.34965974	0.103987048	0.071079754	0.023035106	NaN	0.46136024	160575615.6	16.34965974	NaN	55.30421217	128200000	36.95787832	4.368174727	NaN	NaN	NaN	NaN	NaN	NaN	0.916030534	NaN	NaN	0.017180847	142700000	91.88391723	0.368267722	NaN	6.519757974	0.27414656	0.017180847	0	0	1.228057078	141476732.3	6.519757974	NaN	10.05089059	78600000	NaN	NaN	14.73282443	74.30025445	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.194063927	22774721000	73.83942161	24.60045662	NaN	NaN	1.046423135	2.321156773	6.64478691	0.518455099	1.560121766	21024000000	NaN	60.0531292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.176112241	26402615000	65.99736833	18.74398606	3.857595297	1.767438995	0.423812946	4.216022792	7.22628754	1.252828494	15.25864561	21534264730	NaN	54.91399014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.615637043	5.188516344	2.884706633	NaN	4.198728186	88.3619617	1.870892404	0.280306561	21527000000	65.35895393	3.239914492	1.383356052	0.662893471	30.38008093	0.213408058	0.340891269	0.639365641	1.021050644	22363729100	30.38008093	85.40292084	15.76846018	6887800000	30.69775545	49.33505619	97.24770642	56.72769261	3.360702032	51.93018275	10.48015283	NaN	0.454022452	32.85859795	1.315317541	2.433273464	15659000000	44.51537716	9.567372819	3.086464089	0.660862912	43.57008495	3.557312676	0.714066375	1.548666765	2.34716508	16403787160	43.57008495	60.13135416	11.79214479	3215700000	247037164	4.757370505	27.64250396	60.11132879	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.771498771	NaN	NaN	NaN	394000000	35.560057	NaN	NaN	52.63146186	NaN	NaN	NaN	NaN	11.80848114	395576700	52.63146186	NaN	10.0982801	40700000	79.18918919	1.941031941	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	216000000	28.05584343	NaN	NaN	65.53333209	NaN	NaN	NaN	NaN	6.410824475	241711500	65.53333209	NaN	70.89125102	12230000	NaN	NaN	29.10874898	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	497800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	75884698.31	NaN	98.41897233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	252000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	6532169.612	NaN	71.67630058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.2393957	NaN	NaN	NaN	342000000	94.88049855	NaN	NaN	NaN	4.215864972	NaN	NaN	NaN	0.903636477	363383231.5	4.215864972	84.95024876	29.35212086	127481481.5	43.56188263	18.84660081	NaN	NaN	NaN	NaN	NaN	NaN	0.606767352	NaN	NaN	NaN	44000000	57.23926936	NaN	NaN	NaN	39.38637329	NaN	1.064620059	NaN	3.374357348	31889076.02	39.38637329	103.3676744	7.324819629	390655555.6	NaN	NaN	16.95440712	75.1140059	NaN	NaN	NaN	NaN	NaN	2
