Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
20	2000	0.020645161	NaN	NaN	180	NaN	180	85882681.56	3124837989	0.993809809	2397430168	727407821.2	4217877.095	3210720670	NaN	119089385.5	60150836.94	-165553072.6	-53368715.08	-24379888.27	-345642458.1	22543892.04	163016759.8	198932960.9	35916201.12	36480446.93	-87804469.27	100280130.3	10698324.02	1.02017985	32513966.48	3100458101	0.332424139	2051787709	1048670391	156424.581	3132972067	154525139.7	NaN	NaN	0	10072626.11	NaN	NaN	NaN	NaN	NaN	3
180	1000	0.01384984	NaN	NaN	470	NaN	470	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
379100	7772000	0.275059361	3004700	0.211581804	652230	4381000	652230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57800000	1.212724644	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
575900	3300000	0.214008573	1072095	0.232614101	1246700	716604	1246700	1738741030	8801255130	5.023280425	5480121172	3321133958	NaN	10539996160	0.169314601	87272970	229849975.6	-719558880.5	-1726480970	908005425.5	4028055471	-821888038.2	3481071780	3482061780	990000	-262793416.3	98916664	21960000	NaN	NaN	12260060	9709260556	-0.15665102	9508176643	201083912.5	NaN	9721520616	3504701780	25.1120264	1263904780	0	NaN	NaN	NaN	NaN	NaN	NaN	2
11210	578000	0.186049446	153340	4.416058394	27400	488500	28750	24364467.58	2586078531	3.28911928	1783463001	802615530.4	8358857.12	2610442999	NaN	81393510.06	4135727.882	-406814698.3	170404093.6	-1419161206	-1336254224	147352121.7	178036400.7	155551382.7	-22485018	-98138477.8	841942413.8	156951609	49294688.26	6.849257019	194768561.2	1166917326	3.298855043	447208777.3	719708548.3	5321983.91	1361685887	178036400.7	3.149790539	988388.73	0	888748596.2	15.72359309	NaN	NaN	NaN	NaN	1
5590	64000	0.018818222	6	2.272727273	83600	15	83600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4255956433	3.422662616	NaN	NaN	NaN	NaN	30363231858	30	1003886290	3.957017503	3
1312000	29000000	0.763132772	9416542	0.365404923	2736690	34587592	2780400	11079580000	18827210000	4.606174941	13134200000	5693010000	402950000	29906790000	0.597065815	366400000	180410003.7	8139930000	-7975690000	15611500000	16804600000	-1427705814	878230000	-6879850000	-7758080000	-3647964186	504120000	140100000	312240000	6.938805443	3103890000	34438710000	0.029778373	29938800000	4499910000	51500000	37542600000	1652010000	1.274727568	1057800000	65350000	273420013.4	0.210976949	38927340000	107	4913310000	6.902592207	2
14440	455000	0.148665895	194816	1.369382022	28480	309582	29740	71475000	1405908411	5.952652837	1130206411	275702000.4	NaN	1477383411	0.012824801	24692508	26912000.66	-189444355.7	94491669.2	-502416817.4	-434078310.5	-1561874.254	120512200	120770200	258000	-45576817.06	218480792.5	89938463.92	27711900	13.36392416	165966669.2	903491593.5	4.343576031	696128100	207363493.5	NaN	1069458263	120872200	4.306005449	34806000	50000	167704055.8	5.974364479	27112491.17	213	735135.4169	3.940414084	1
50	2000	0.03290881	NaN	15	200	NaN	200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
130	8000	0.097900044	35	2.272727273	440	55	440	47306707.41	542675012.6	17.08856369	360208248.1	182466764.4	511081.4815	589981720	NaN	12652255.56	1489292.622	-79060359.63	-38696280	-53614295.19	-289060374.1	-4997918.648	166321143.7	168959887	2638743.333	-26151001.35	13250215.56	10191259.26	NaN	NaN	8610427.407	489060717.4	1.361187328	71147874.07	417912843.3	NaN	497671144.8	166321143.7	19.1920715	NaN	NaN	19705570.22	2.273858297	NaN	NaN	NaN	NaN	2
