IDA grants (current US$)	PPG, IBRD (DIS, current US$)	PPG, IDA (DIS, current US$)	PPG, multilateral (DIS, current US$)	PPG, multilateral concessional (DIS, current US$)	PPG, official creditors (DIS, current US$)	PPG, bonds (DIS, current US$)	PPG, commercial banks (DIS, current US$)	PNG, bonds (DIS, current US$)	PNG, commercial banks and other creditors (DIS, current US$)	PPG, other private creditors (DIS, current US$)	PPG, private creditors (DIS, current US$)	External debt stocks, concessional (DOD, current US$)	Concessional debt (% of total external debt)	PPG, bilateral (DOD, current US$)	PPG, bilateral concessional (DOD, current US$)	External debt stocks, total (DOD, current US$)	Total change in external debt stocks (current US$)	External debt stocks (% of exports of goods, services and income)	External debt stocks (% of GNI)	Use of IMF credit (DOD, current US$)	External debt stocks, long-term (DOD, current US$)	External debt stocks, private nonguaranteed (PNG) (DOD, current US$)	External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)	External debt stocks, short-term (DOD, current US$)	Short-term debt (% of total reserves)	Short-term debt (% of exports of goods, services and income)	Short-term debt (% of total external debt)	Debt forgiveness grants (current US$)	PPG, IBRD (DOD, current US$)	PPG, IDA (DOD, current US$)	PPG, multilateral (DOD, current US$)	Multilateral debt (% of total external debt)	PPG, multilateral concessional (DOD, current US$)	IBRD loans and IDA credits (DOD, current US$)	PPG, official creditors (DOD, current US$)	PPG, bonds (DOD, current US$)	PPG, commercial banks (DOD, current US$)	PNG, bonds (DOD, current US$)	PNG, commercial banks and other creditors (DOD, current US$)	PPG, other private creditors (DOD, current US$)	External debt stocks, long-term private sector (DOD, current US$)	PPG, private creditors (DOD, current US$)	External debt stocks, long-term public sector (DOD, current US$)	Present value of external debt (current US$)	Present value of external debt (% of exports of goods, services and income)	Present value of external debt (% of GNI)	Residual, debt stock-flow reconciliation (current US$)	External debt stocks, variable rate (DOD, current US$)	Debt buyback (current US$)	Debt stock reduction (current US$)	Debt stock rescheduled (current US$)	Average grace period on new external debt commitments (years)	Average grace period on new external debt commitments, official (years)	Average grace period on new external debt commitments, private (years)	Average grant element on new external debt commitments (%)	Average grant element on new external debt commitments, official (%)	Average grant element on new external debt commitments, private (%)	Average interest on new external debt commitments (%)	Average interest on new external debt commitments, official (%)	Average interest on new external debt commitments, private (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
62391039	0	34956000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	85707000	NaN	NaN	NaN	85707000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
0	0	5032000	9584000	5217000	151337000	0	1711765000	0	0	2655000	1714420000	945597000	10.8751	1969545000	623001000	8695028000	-44209000	89.44104144	71.09713223	0	7620030000	0	7620030000	1074998000	169.5047271	11.05792028	12.3634	0	0	291456000	349231000	4.0164	322596000	291456000	2318776000	0	2883775000	0	0	2417479000	23898000	5301254000	7596132000	NaN	NaN	NaN	-648653508.8	1385857000	0	0	138431000	0.8225	4.0658	0.5482	19.7468	34.0113	18.5404	3.5559	3.4995	3.5606	2
0	0	60876000	106596000	76390000	136097000	0	397000	0	0	0	397000	1069927000	71.6595	476511000	430079000	1493070000	366381000	109.6486359	25.65505876	90391000	1253245000	12329000	1240916000	149434000	14.39225968	10.97419026	10.0085	0	0	583261000	739304000	49.5157	639848000	583261000	1215815000	0	1773000	0	12329000	23328000	16235000	25101000	1237010000	NaN	NaN	NaN	19820829.3	204348000	0	0	0	11.8881	11.8881	0	66.5672	66.5672	0	1.8044	1.8044	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	1962892000	0	4613411000	0	4613678000	0	213000	0	940000000	0	213000	1281129000	0.7993	4977046000	1281129000	1.60278E+11	15377650000	426.9222989	131.779059	15522688000	1.22449E+11	28386742000	94061838000	22306463000	157.56174	59.4164043	13.9174	9210000	7508015000	0	16380753000	10.2202	0	7508015000	21357799000	72166653000	176981000	9833796000	18552946000	360405000	28418770000	72704039000	94029810000	NaN	NaN	NaN	3030596670	51002406000	0	0	0	3.8109	3.8109	0	31.0635	31.0635	0	3.7568	3.7568	0	2
0	0	77386000	84436000	84187000	90842000	0	0	0	15770000	0	0	794408000	42.6295	128196000	97187000	1863519000	271451000	174.2488758	64.22492641	214640000	1244879000	367650000	877229000	404000000	80.48176554	37.77613527	21.6794	0	7843000	661599000	747046000	40.0879	697221000	669442000	875242000	0	0	0	367650000	1987000	367650000	1987000	877229000	NaN	NaN	NaN	3594131.4	434666000	0	46060000	0	10.3886	10.3886	0	80.6699	80.6699	0	0.75	0.75	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	74742000	93288000	83552000	178631000	0	0	0	53505000	0	0	939388000	54.8187	629832000	483613000	1713627000	233134000	55.11366049	25.0757653	259250000	1351377000	76413000	1274964000	103000000	12.82945948	3.312684268	6.0106	0	0	421867000	560676000	32.7187	455775000	421867000	1190508000	0	81655000	0	76413000	2801000	76413000	84456000	1274964000	NaN	NaN	NaN	20164418.2	376271000	0	0	0	8.423	8.423	0	68.5536	68.5536	0	1.5518	1.5518	0	2
0	0	40603000	48579000	48579000	48579000	0	0	0	0	11344000	11344000	1207003000	90.882	159687000	155687000	1328099000	114398000	2880.832816	230.1306281	28605000	1251932000	0	1251932000	47562000	70.60207586	103.1667818	3.5812	2940000	0	731741000	1081001000	81.3946	1051316000	731741000	1240688000	0	0	0	0	11244000	0	11244000	1251932000	NaN	NaN	NaN	86784245.3	587000	0	0	0	0	0	0	0	0	0	0	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	27549000	57989000	57989000	61821000	0	0	0	0	0	0	1321833000	89.7989	75310000	65310000	1471992000	-123778000	200.0209981	41.87168016	73119000	1363822000	0	1363822000	35051000	4.882607717	4.762890019	2.3812	63190000	0	729466000	1284647000	87.2727	1256523000	729466000	1359957000	0	0	0	0	3865000	0	3865000	1363822000	NaN	NaN	NaN	-27019460.2	868000	0	197760000	0	8.0382	8.0382	0	61.3673	61.3673	0	1.7026	1.7026	0	0
0	0	518716000	753676000	733174000	870079000	0	0	0	0	9732000	9732000	17368312000	94.8286	3816692000	3811463000	18315470000	1746669000	225.6060361	33.43596335	73556000	17624914000	0	17624914000	617000000	23.5081318	7.600073832	3.3687	93660000	7284000	8061818000	13591311000	74.2067	13556849000	8069102000	17408003000	0	28555000	0	0	188356000	0	216911000	17624914000	NaN	NaN	NaN	-197291665.9	27178000	0	0	0	8.227	8.2898	1.521	70.0252	70.4575	23.8229	1.223	1.2088	2.7409	0
0	184829000	0	291505000	43303000	317091000	0	24660000	52018000	502478000	0	24660000	659127000	4.9365	676150000	574411000	13351993000	1873121000	117.7369442	63.54467841	1187520000	9501973000	1825796000	7676177000	2662500000	39.00687345	23.47773954	19.9408	0	1265920000	0	2261306000	16.9361	84716000	1265920000	2937456000	4585945000	77890000	58098000	1767698000	74886000	1825796000	4738721000	7676177000	NaN	NaN	NaN	11927740.9	6297058000	0	0	0	5.0329	5.0329	0	44.1571	44.1571	0	2.7346	2.7346	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0	0	48193000	92300000	49157000	115965000	0	0	0	317219000	0	0	1343827000	30.1405	719145000	585551000	4458544000	1318236000	156.307228	50.0794761	133917000	4211627000	1896478000	2315149000	113000000	6.230976935	3.961543671	2.5345	24020000	540147000	683345000	1426867000	32.003	758276000	1223492000	2146012000	0	169137000	0	1896478000	0	1896478000	169137000	2315149000	NaN	NaN	NaN	975766264	2716702000	0	0	0	10.3889	10.3889	0	63.8198	63.8198	0	1.3712	1.3712	0	2
0	592000	0	592000	0	14137000	0	1631000	0	212100000	31298000	32929000	127324000	3.9398	234375000	127324000	3231758000	333930000	27.61643438	18.10454316	26042000	1230795000	520800000	709995000	1974921000	310.259302	16.87634909	61.1098	0	83684000	0	146168000	4.5229	0	83684000	380543000	0	47962000	0	520800000	281490000	535898000	329452000	694897000	NaN	NaN	NaN	-2515532.7	1012795000	0	0	0	0.6316	0.8333	0.6282	14.1712	22.2838	14.0369	3.8306	0	3.894	2
0	2145000	0	36373000	3877000	66151000	100000000	96551000	0	5000000	0	196551000	96416000	9.0007	79408000	49499000	1071202000	212950000	200.9296591	118.6205727	0	990219000	36100000	954119000	80983000	95.62963488	15.19030639	7.56	2380000	41717000	0	212795000	19.8651	46917000	41717000	292203000	307890000	351386000	0	36100000	2640000	36100000	661916000	954119000	NaN	NaN	NaN	-8757265	149202000	0	0	0	6.2092	3.023	6.9824	4.9394	20.7109	1.112	8.8319	6.2952	9.4475	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
