PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18260000	27990000	NaN	NaN	18260000	NaN	1.483003598	27990000	0.982635361	237.8781168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	226420000	329490000	NaN	NaN	226420000	NaN	NaN	329490000	NaN	10.41563786	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
-3202000	24334000	199570000	212570000	0	212570000	0	33126000	32664000	33112000	29462000	0	240946000	0	0	-57838000	183108000	447070000	658990000	NaN	NaN	447070000	66.36153669	23.0094864	658990000	11.87531543	38.07132103	NaN	42776000	15238000	259128000	8.149191773	13.33661886	0	204128000	0	6.41952324	204128000	10.50591728	6.41952324	0	199000	661000	0.323816429	213000	43437000	0	58145000	0	0	102546000	160691000	273377000	1294476000	708073000	586403000	77.4588236	2
28109000	32478000	78684000	54309000	0	54309000	0	34752000	35739000	35552000	63848000	0	0	0	0	-9539000	-9539000	163100000	228030000	NaN	NaN	163100000	45.887374	8.193209649	228030000	21.0505937	51.29830958	NaN	7424000	3055000	18283000	6.636297641	0.918433182	1083000	17200000	0	6.636297641	17200000	0.864029466	6.243194192	0	237000	237000	1.377906977	237000	7661000	0	0	0	0	9539000	9539000	0	231435000	212471000	18964000	1193.706395	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8030000	-10170000	NaN	NaN	-8030000	NaN	NaN	-10170000	NaN	-3.596091322	-0.193489531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
35111000	145349000	2348377000	4073695000	3289139000	784556000	-161273000	0	-465476000	-2349000	-430365000	1231372000	-30333000	1670831000	1618308000	13882000	1214921000	146220000	217560000	NaN	NaN	146220000	0.284857682	0.057593865	217560000	0.425749608	4.24806812	NaN	647452000	93040000	5747680000	25.13473578	2.26392496	617769000	4628011000	1050229000	18.34724025	3577782000	1.409234677	15.64572232	708772000	0	1252079000	34.99595559	2349000	1899531000	1481791000	97993000	758709000	291520000	98467000	1678251000	847410000	4855281000	4259931000	595350000	7945.414226	2
23222000	0	80247000	56101000	0	56101000	946000	5452000	32879000	5452000	56101000	0	0	0	0	0	0	191270000	272600000	NaN	NaN	191270000	62.0187944	14.54940379	272600000	43.63408235	58.12723747	NaN	0	0	4440000	1.93869531	0.337739075	0	4440000	0	1.93869531	4440000	0.337739075	1.93869531	71000	6000	4440000	100	6000	4440000	0	0	0	0	0	0	0	171230000	171230000	0	1800.125552	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4030000	5960000	NaN	NaN	4030000	2.486915318	0.850949001	5960000	0.890134162	60.24366545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1793.677665	2
