Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.556759203	447.374	447.374	100	7.235549086	NaN	NaN	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	392.369	12.55868545	NaN	3124.284	2016.85	64.55399061	0.174707475	NaN	NaN	443.707	14.20187793	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22321.409	NaN	0	0	13.45679012	701000000	86.54320988	203000000	25.0617284	0	0	0	0	109000000	13.45679012	810000000	701000000	0	0	3.791413699	5.850720849	-331.78355	1.166167561	20.38423602	170.9191099	5169.583	4055.517	78.44959642	607000000	63.47515936	540.5932533	1.125015693	297.027	5.107187894	0.726337158	5815.862	2926.266	50.31525851	0.608175893	0.296727232	0.192286681	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2902.55	NaN	0	0	23.77701934	3350000000	76.22298066	162000000	3.686006826	0	0	0	0	1045000000	23.77701934	4395000000	3350000000	0	0	3.007264153	4.640654855	-2.530091754	10.17688565	78.54824836	215.4868292	2830.925	375.083	13.24948559	3583000000	1149.868309	908.509892	2.62953275	451.041	6.0591133	2.266029398	7444.01	2823.59	37.93103448	2.388956515	0.874393673	0.566629674	3736.673	50.19704433	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80110.444	NaN	0	0	100	0	0	956000000	7.000073223	13150000000	96.28761807	0	0	507000000	3.712381929	13657000000	0	0	0	3.858708996	5.954560599	-364.4920334	0	99.9999942	167.9385042	17246.893	0	0	12701000000	8373.648949	11370.71313	2.765309787	25144.619	52.7218207	0.932689315	47693.002	16226.475	34.02275873	31.44354429	0.716641185	0.464401989	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43317.808	NaN	1003000000	1.927400603	45.39864333	21841000000	41.97044524	8199000000	15.75549107	12532000000	24.08193855	6465000000	12.42337478	10090000000	19.38930418	52039000000	21949000000	108000000	0.207536655	3.875593526	5.980615921	6.382853468	7.700559871	88.16183048	167.2068585	46271.233	1899.558	4.105267737	44090000000	1409.986678	1479.741939	2.484094491	36728.672	31.95405966	0.554976741	114942.115	66508.379	57.86249801	3.675818799	0.640958469	0.415357636	3780.677	3.289200829	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.534774817	275.025	275.025	100	4.330420406	0.522218066	0.338410789	0	0	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	148893.304	NaN	1.00668E+11	76.5402249	89.30453229	13597000000	10.33811577	10273000000	7.810801153	13989000000	10.6361625	0	0	2799000000	2.128144887	1.31523E+11	14067000000	470000000	0.357351946	2.936054551	4.607832261	-92.12884593	1.613816814	93.72885181	217.0217888	77496.59	3609.271	4.657328793	1.22397E+11	7525.685721	4764.945062	3.304751177	28994.969	11.32143011	0.977405057	256106.947	76412.946	29.83634255	15.7469578	1.125575537	0.717203012	147512.409	57.59797254	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8057.586	NaN	4930000000	9.921912735	25.58364193	36031000000	72.51449042	2857000000	5.749879246	5664000000	11.39913057	0	0	2118000000	4.262598615	49688000000	36933000000	902000000	1.815327645	5.007930368	7.264408482	66.49287644	12.8856688	79.57885811	137.6574572	24047.382	2294.247	9.540527114	41934000000	5536.144154	3174.745392	2.401269668	9640.543	16.69524354	0.438119356	57744.249	31037.488	53.74992062	7.623419815	0.479493422	0.330552677	14811.013	25.64933003	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.28936779	267.691	242.022	90.4109589	0.051813805	0.117905243	0.076405641	25.669	9.589041096	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14483.725	NaN	15060000000	24.16288286	31.11492612	429000000	0.688305229	3242000000	5.201598023	2094000000	3.359699649	41967000000	67.33357935	2239000000	3.592343607	62327000000	577000000	148000000	0.237457282	3.209425005	4.795857758	68.96661671	23.51388003	76.4532519	208.5132734	46671.434	197.488	0.423145344	58007000000	5876.962998	4728.503296	2.209403722	15108.04	14.6514936	0.617008985	103116.04	48683.092	47.21194879	10.44717278	0.688411076	0.460690002	36482.983	35.38051209	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1764.291	NaN	0	0	100	0	0	39000000	NaN	0	0	0	0	26000000	100	26000000	0	0	0	2.110553044	3.256896546	-11.74156994	0	7.521614691	307.0407629	1578.903	1446.985	91.64495856	140000000	32.02584028	361.1835378	0.341407294	0	0	0.395870086	539.049	388.702	72.10884354	0.123310694	0.161762006	0.104825956	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8779.616	NaN	0	0	90.74637551	517000000	9.253624485	1818000000	32.53982459	4229000000	75.69357437	0	0	841000000	15.05280115	5587000000	517000000	0	0	4.37589146	6.752649889	16.28292916	0.423962552	43.86434304	148.0900115	10487.247	5842.624	55.71170394	3769000000	38.68446542	107.6395712	1.131159112	5933.206	50.01545595	0.446738465	11862.745	5331.818	44.94590417	0.121757482	0.258497982	0.167513366	443.707	3.740340031	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10042.621	NaN	19200000000	44.16534401	65.55563223	2538000000	5.838106411	4413000000	10.15112829	2800000000	6.440779334	12436000000	28.60626136	6499000000	14.94950889	43473000000	2538000000	0	0	1.42003776	2.199544445	67.18308341	11.30373528	86.78503772	454.639597	30601.964	210.86	0.689040743	43409000000	4838.620325	3411.073395	2.995363271	10791.981	11.77341281	6.137203403	91663.999	36299.633	39.60075209	10.21740396	2.109354663	1.361810751	41836.803	45.64147698	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12890.039	NaN	0	0	100	0	0	288000000	9.612817089	2996000000	100	0	0	0	0	2996000000	0	0	0	1.450708545	2.238658564	-266.6282026	0	100.0000284	446.6960777	3515.834	0	0	2708000000	6069.816337	7880.526828	3.251017824	8995.151	78.69746551	2.758697953	11430.039	2438.555	21.33461662	25.61973318	2.240986197	1.452216911	0	0	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.663506701	227.354	227.354	100	1.297682648	0.606783976	0.393211681	0	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.227295605	575.719	575.719	100	9.960536332	NaN	NaN	0	0	3
