Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)	HFC gas emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (% of total)	Methane emissions in energy sector (thousand metric tons of CO2 equivalent)	Energy related methane emissions (% of total)	Methane emissions (kt of CO2 equivalent)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural nitrous oxide emissions (% of total)	Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)	Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Nitrous oxide emissions (thousand metric tons of CO2 equivalent)	PFC gas emissions (thousand metric tons of CO2 equivalent)	PM10, country level (micrograms per cubic meter)	SF6 gas emissions (thousand metric tons of CO2 equivalent)	Bird species, threatened	Disaster risk reduction progress score (1-5 scale; 5=best)	GHG net emissions/removals by LUCF (Mt of CO2 equivalent)	Droughts, floods, extreme temperatures (% of population, average 1990-2009)	CO2 emissions from residential buildings and commercial and public services (million metric tons)	CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from electricity and heat production, total (million metric tons)	CO2 emissions from electricity and heat production, total (% of total fuel combustion)	CO2 emissions from manufacturing industries and construction (million metric tons)	CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)	CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	CO2 emissions from transport (million metric tons)	CO2 emissions from transport (% of total fuel combustion)	Fish species, threatened	Plant species (higher), threatened	Mammal species, threatened	Population density (people per sq. km of land area)	Population living in areas where elevation is below 5 meters (% of total population)	Population in largest city	Population in the largest city (% of urban population)	Population in urban agglomerations of more than 1 million	Population in urban agglomerations of more than 1 million (% of total population)	Pump price for diesel fuel (US$ per liter)	Pump price for gasoline (US$ per liter)	GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)	Water productivity, total (constant 2000 US$ GDP per cubic meter of total freshwater withdrawal)	Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)	Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)	Annual freshwater withdrawals, industry (% of total freshwater withdrawal)	Annual freshwater withdrawals, total (billion cubic meters)	Annual freshwater withdrawals, total (% of internal resources)	Renewable internal freshwater resources, total (billion cubic meters)	Renewable internal freshwater resources per capita (cubic meters)	Terrestrial protected areas (% of total land area)	Marine protected areas (% of territorial waters)	Terrestrial and marine protected areas (% of total territorial area)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	446.2388889	NaN	22449	57.27132849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.105546772	0	0.006721137	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.35704474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	137.6574468	NaN	20620	34.01351399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.560184538	NaN	5.560184538	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.61112987	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.45971973	NaN	1615662	36.3055323	1615662	7.188495396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.366882032	NaN	0.366882032	0
0	0	11115.3	26.23352041	5910.8	13.95023908	42370.6	13472.6	37.36213758	95.6	0.265117375	0	36059.5	0	116.2813705	0	NaN	NaN	NaN	NaN	0.65	16.41414141	0.41	10.35353535	1.83	46.21212121	0.01	0.252525253	1.06	26.76767677	NaN	NaN	NaN	9.709717655	NaN	1953089	36.66914609	1953089	16.13442428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.39982287	0.066622615	12.05923051	2
2.7	2.7	2090.5	75.6386135	471.6	17.06346335	2763.8	807.6	82.92432488	24.3	2.495122703	0	973.9	0	40.95171828	0	NaN	NaN	NaN	NaN	0.24	12.90322581	0.33	17.74193548	0.59	31.72043011	0.08	4.301075269	0.62	33.33333333	NaN	NaN	NaN	114.6387591	NaN	287950	23.56597661	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.484233908	0.963995458	3.046614069	1
596.9	0	373.8	2.28228815	15450.2	94.33335572	16378.3	380.9	42.27524972	138.3	15.34961154	0	901	167	173.1903035	429.9	NaN	NaN	NaN	NaN	0.97	1.386308418	20.14	28.78376447	35.88	51.27911962	0	0	12.97	18.53651565	NaN	NaN	NaN	28.09257177	NaN	649755	35.28871067	649755	27.66634916	NaN	NaN	NaN	46.24337423	66.79	23.72	9.488	1.723	1148.666667	NaN	NaN	0.30371035	0.26542399	0.292287597	3
514.1	234.4	74529.1	69.02523485	23552.7	21.81336751	107973.7	32642.9	85.14236082	1402.8	3.869929472	80.9	38339.2	127.4	75.2546201	152.3	NaN	NaN	NaN	NaN	17.98	15.21150592	30.67	25.94754653	23.58	19.94923858	7.7	6.514382403	38.28	32.3857868	NaN	NaN	NaN	12.73624707	NaN	11154222	36.07850917	13550426	38.87638444	NaN	NaN	NaN	8.75640016	75.3	15.96	8.747	28.58	10.35507246	NaN	NaN	5.301022302	1.077003797	5.095439415	2
6.8	6.8	972.2	40.04943357	1117.2	46.02265705	2427.5	372.6	80.04296455	3.3	0.708915145	0	465.5	0	117.3560271	0	NaN	NaN	NaN	NaN	0.02	0.584795322	1.38	40.35087719	0.57	16.66666667	1.33	38.88888889	0.11	3.216374269	NaN	NaN	NaN	113.1732093	NaN	1142480	53.46277059	1142480	35.4458169	NaN	NaN	NaN	0.509007183	66.32	29.57	4.103	2.925	42.64470039	NaN	NaN	6.931016818	NaN	6.931016818	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	264.595	NaN	40950	90.71795385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.310137905	2.06937017	2.032424109	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.98180479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	156.0045455	NaN	23147	99.18040233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.579209808	0.457598724	0.730903147	2
