Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	215915000	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	67.22222222	NaN	NaN	NaN	NaN	NaN	NaN	0
105837000	199000	6359.436	33.36475024	0	60000000	NaN	NaN	NaN	NaN	2
10199000	237000	1409.969	83.46007605	0	133000000	223594867.8	NaN	NaN	NaN	1
NaN	NaN	25981.412	39.09141052	22855000000	881000000	6963510096	NaN	NaN	NaN	3
3838546000	0	53436.2	54.52761758	20223000000	4557000000	16003266606	NaN	NaN	NaN	2
4440000	6000	1365.563	40.42027194	1508000000	636000000	36108083.16	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	45808258.37	NaN	NaN	NaN	2
NaN	NaN	91258.345	28.85510918	12199000000	2320000000	14313164697	NaN	NaN	NaN	3
NaN	NaN	25541.197	52.50891493	8656000000	2605000000	23852062387	17.62777	NaN	NaN	3
350000	0	15922.225	60.07094653	3219000000	12523000000	2034228.5	NaN	NaN	NaN	2
13069000	4086000	NaN	95.69892473	NaN	NaN	211303517.6	NaN	NaN	NaN	0
NaN	NaN	52858.189	46.99181203	8275000000	1618000000	23474025971	17.62777	NaN	NaN	3
19793000	3338000	1807.371	81.73913043	0	52000000	262494130.8	NaN	NaN	NaN	0
176913000	38330000	14611.203	38.21766866	8281000000	656000000	3174800894	98.81064	NaN	NaN	0
169475000	0	21264.139	31.70059094	2556000000	1626000000	1396927258	17.62777	NaN	NaN	2
NaN	NaN	4948.05	18.87019231	4550000000	0	1227157720	NaN	NaN	NaN	3
NaN	0	1472.035	47.47474747	0	36000000	NaN	NaN	NaN	NaN	2
31073000	0	26751.137	47.58275382	22608000000	8770000000	100987552.7	NaN	NaN	NaN	2
8141000	0	NaN	100	NaN	NaN	34521500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
159826000	4412000	3307.087	49.77356937	1407000000	57000000	793388751.8	0	NaN	NaN	1
6197692000	0	155784.689	72.79968502	479000000	6384000000	38491777749	27.72261	NaN	NaN	2
NaN	NaN	NaN	89.21568627	NaN	NaN	195765859.6	NaN	NaN	NaN	3
NaN	NaN	1941.648	38.23728814	1649000000	14000000	NaN	NaN	NaN	NaN	3
2434000	149000	NaN	43.10344828	NaN	NaN	121400000	NaN	NaN	NaN	1
30461000	91000	1461.158	30.92998955	0	30000000	4401465717	NaN	NaN	NaN	2
10705000	2784000	NaN	100	NaN	NaN	214276442.2	NaN	NaN	NaN	0
NaN	NaN	228088.131	48.99105219	15437000000	9416000000	13774518646	NaN	NaN	NaN	3
NaN	NaN	24409.74	82.06737996	628000000	308000000	66645255447	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1141081000	89000	16611.089	63.85641213	300000000	1512000000	13801961382	0	NaN	NaN	2
4791933000	41396000	980275.396	13.8661135	3146000000	46906000000	57781339993	63.63066	NaN	NaN	2
180878000	1914000	5401.824	93.65994236	0	32000000	13740920.53	57.26837	NaN	NaN	1
1677833000	91000	27965.243	58.59336843	4947000000	418000000	8102672937	24.47803	NaN	NaN	2
804000	310000	NaN	100	NaN	NaN	44412094.13	NaN	NaN	NaN	0
3241000	176000	NaN	100	NaN	NaN	42078709.3	NaN	NaN	NaN	1
216827000	21000	2311.631	91.09255393	0	826000000	906223479.3	NaN	NaN	NaN	2
