Station	RidershipIn1904	RidershipIn1905	RidershipIn1906	RidershipIn1907	RidershipIn1908	RidershipIn1909	RidershipIn1910	RidershipIn1911	RidershipIn1912	RidershipIn1913	RidershipIn1914	RidershipIn1915	RidershipIn1916	RidershipIn1917	RidershipIn1918	RidershipIn1919	RidershipIn1920	RidershipIn1921	RidershipIn1922	Borough
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1381684135	0.2371756523	0.2171156527	0.1757412696	0.1576106013	0
0.0023696682	0	0.1049879245	0.1107802005	0.117436494	0.1123166733	0.1107469862	0.0976264286	0.0866846654	0.0826174129	0.0842496287	0.0755536613	0.049064754	0.0404475802	0.0612071419	0.1047257304	0.1087640205	0.1060353331	0.0876346893	0.0821527614	0
0.0047393365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355060081	0.0460793393	0.0442452346	0.0389001342	0.0365821689	0
0.0071090047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1293793957	0.1873463528	0.1961469034	0.1790510121	0.1671439108	0
0.009478673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1136869563	0.1393378346	0.1469660998	0.1362651592	0.1311831576	0
0.0118483412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0347968622	0.0524687623	0.0517412192	0.0445218164	0.041649473	0
0.0142180095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348172978	0.0509471398	0.0534247541	0.0483513731	0.046832928	0
0.0165876777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449755621	0.070127322	0.0752165136	0.0722116635	0.0720080669	0
0.018957346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0580635905	0.08295649	0.0845029588	0.0764102904	0.0703211759	0
0.0213270142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452730069	0.0661368947	0.0657293563	0.0613601074	0.0598608882	0
0.0236966825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1136545034	0.150537111	0.1473783978	0.136897175	0.1338598482	0
0.0260663507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0736300307	0.0886118289	0.0851803055	0.0812823102	0.0789514134	0
0.028436019	0	0	0	0	0	0	0	0	0	0	0	0	0.0014930872	0.0719135072	0.3603033998	0.5047757704	0.5226635545	0.5100226471	0.5158855458	0
0.0308056872	0.1254497976	0.1401740308	0.1405390865	0.172894617	0.2321967145	0.2510274218	0.2670108116	0.2721844483	0.2718317159	0.2714784389	0.2813240681	0.1997150392	0.1679800359	0.1976606483	0.2121779974	0.2060003882	0.1894124013	0.1717312156	0.1673033791	0
0.0331753555	0.1065856962	0.1054223031	0.1086756058	0.1331632423	0.1716586166	0.1749995357	0.1728850696	0.1612177436	0.1493274901	0.1396260615	0.1290951424	0.0885775299	0.0740079158	0.0895606978	0.1097177825	0.1186227049	0.1056660772	0.0930395749	0.0864582953	0
0.0355450237	0.1518352388	0.1502758048	0.15071864	0.1816740527	0.2328711818	0.2457831027	0.242584955	0.2281660264	0.2141982886	0.2010096475	0.1923829392	0.1345258488	0.1102337754	0.1338937111	0.1758384606	0.1821226016	0.1729544635	0.1631327658	0.1634708634	0
0.0379146919	0.0984105449	0.0991052926	0.0973554617	0.1200190821	0.1542373113	0.1547212109	0.1490180691	0.1418784389	0.1312720639	0.1258812206	0.1232228228	0.0836201725	0.0667785385	0.078629467	0.1001002992	0.1024997861	0.0921504064	0.0816296416	0.0779147856	0
0.0402843602	0.1144142432	0.1068509667	0.1016694025	0.1237673056	0.1640488832	0.1773238713	0.1718712632	0.1601459239	0.1451646448	0.141228037	0.1370814736	0.0941483321	0.0759431514	0.0884464241	0.1119706706	0.1203983505	0.111664786	0.1005675213	0.0933454147	0
0.0426540284	0.1620929705	0.1629489083	0.160411526	0.1985286005	0.2591162127	0.2743441874	0.2709197293	0.2698846725	0.2581495089	0.2464066377	0.235458683	0.159104136	0.1310240407	0.1613237174	0.2204038771	0.2092042271	0.189262932	0.1737488454	0.1638808373	0
