"time_s1.0"	"time_b1.0"	"time_s1.1"	"time_b1.1"	"mean_conntime"	"stdev_conntime"	"mean_reqtime"	"stdev_reqtime"	"time_addit"	"ser_1.1"	"burst_1.1"	"getall"	"http_vers"	"conn_b1.1"	"conn_s1.1"	"servers"	"size"	"retrieved"	"objects"	"size_ob1"
8.196	5.888	15.845	11.254	0.157	0.08	0.317	0.515	0.286	15.638	10.924	11.584	1.1	1	2	1	105461	11	11	6828
9.834	11.732	6.815	1.765	0.401	0.822	0.231	0.08	0.343	6.549	1.668	1.862	1	3	0	1	19979	15	15	9924
2.138	3.896	1.868	3.921	0.118	0.008	0.134	0.036	0	1.78	3.848	3.994	1.1	1	1	1	6852	2	2	466
1.952	4.665	5.163	0.527	0.15	0.033	0.181	0.096	0.03	4.997	0.448	0.606	1	2	0	1	13055	4	4	1692
1.989	1.198	1.85	0.745	0.168	0.038	0.224	0.055	0	1.66	0.587	0.903	1.1	1	1	1	5714	5	5	1613
25.693	9.396	9.505	8.754	1.518	1.342	1.392	1.48	4.029	9.429	8.682	8.826	1.1	1	1	1	54186	5	5	3943
14.252	1.473	3.714	1.473	2.362	1.752	2.379	3.452	0	3.376	1.174	1.772	1.1	1	1	1	4527	3	3	542
14.501	4.928	17.372	19.703	0.433	1.58	0.2	0.298	0.122	17.339	19.666	19.74	1.1	1	2	2	122056	17	18	6109
5.564	9.827	1.688	1.312	0.108	0.084	0.111	0.041	0.227	1.544	1.16	1.464	1.1	1	1	1	22758	3	3	4954
11.169	2.148	2.336	2.132	0.853	1.339	0.302	0.06	3.448	2.058	1.797	2.467	1.1	1	1	1	18250	6	6	3243
51.446	7.198	9.985	10.356	0.55	0.895	0.762	1.786	31.217	9.706	10.135	10.577	1.1	11	2	2	59521	14	16	11742
11.778	9.499	14.337	6.416	0.271	0.081	0.34	0.098	0.626	14.088	6.145	6.687	1.1	1	1	1	171344	8	8	8175
4.552	5.612	2.798	2.698	0.067	0.021	0.071	0.022	0.52	2.737	2.621	2.775	1.1	1	1	2	99798	21	22	24757
2.214	1.167	17.988	16.925	0.127	0.031	0.129	0.013	0.149	17.872	16.712	17.138	1.1	1	2	1	45239	4	4	4421
3.055	4.057	2.196	2.294	0.079	0.033	0.093	0.037	0.114	2.145	2.219	2.369	1.1	1	1	1	23683	16	16	3193
10.895	4.535	8.434	5.32	0.297	0.094	0.858	1.369	0.357	4.993	4.981	5.659	1.1	1	1	1	18250	6	6	3243
6.121	10.091	7.705	2.167	0.229	0.073	0.255	0.078	0.216	7.601	1.932	2.402	1.1	1	1	1	44326	10	10	4912
5.846	2.654	19.727	17.545	0.051	0.023	0.061	0.033	0.247	19.594	17.52	17.57	1.1	1	2	1	80821	27	27	20978
9.94	4.967	9.536	4.303	0.21	0.068	0.224	0.053	0.583	9.309	4.165	4.441	1.1	1	1	1	62829	14	14	9148
10.013	2.769	2.217	0.914	0.662	1.895	0.15	0.137	0.375	2.148	0.784	1.044	1.1	1	1	1	42412	11	11	8095
80.197	20.643	42.602	28.599	0.854	1.981	1.706	5.514	4.798	38.918	28.345	28.853	1.1	1	2	1	91438	20	20	8256
23.33	17.547	10.182	8.273	0.447	0.107	4.188	2.768	0.025	9.761	7.927	8.619	1.1	1	1	1	10992	5	5	1658
8.511	13.296	13.21	14.396	0.333	0.058	2.156	1.447	0.368	12.947	14.045	14.747	1.1	1	2	1	13941	3	3	3637
21.548	3.726	4.475	1.286	0.134	0.056	0.172	0.042	0.717	4.37	1.197	1.375	1.1	2	0	5	103669	6	19	11379
23.067	8.191	7.88	1.401	0.207	0.095	0.203	0.031	0.279	7.659	1.213	1.589	1.1	1	1	1	32936	3	3	4276
2.69	1.254	1.257	1.275	0.086	0.088	0.122	0.047	0.454	1.219	1.025	1.525	1.1	1	1	1	47331	5	5	5307
15.683	2.179	14.883	5.213	0.233	0.137	1.008	2.852	0.333	14.753	4.845	5.581	1.1	2	2	2	30378	12	14	12488
16.037	13.156	12.554	13.489	0.257	0.048	0.22	0.036	1.039	12.383	13.27	13.708	1.1	6	2	1	39467	8	8	9494
4.231	7.713	6.495	4.009	0.154	0.082	0.193	0.094	0.688	6.174	3.677	4.341	1.1	7	1	2	46830	10	16	35632
30.495	8.611	11.283	14.677	1.214	1.443	0.607	0.823	0.247	10.99	14.165	15.189	1.1	4	4	1	32130	16	16	3338
14.923	4.406	8.646	5.108	0.187	0.057	0.199	0.067	0.714	8.41	4.957	5.259	1.1	1	1	1	76252	33	33	20397
2.123	2.758	1.676	1.527	0.452	0.036	0.609	0.167	0	1.18	1.135	1.919	1.1	1	1	2	2639	2	3	1402
13.881	20.371	12.328	11.438	0.34	0.052	0.351	0.043	3.987	8.766	11.087	11.789	1.1	1	1	1	58230	8	8	8486
25.729	12.165	32.658	45.794	0.376	0.148	0.435	0.151	4.899	32.307	45.344	46.244	1.1	8	2	1	44838	18	18	9145
89.114	24.376	17.308	20.492	0.673	1.165	0.574	1.042	0.611	17.149	20.308	20.676	1.1	2	2	1	81443	29	29	9273
7.213	3.068	17.745	17.135	0.19	0.011	0.256	0.022	0	17.499	17.03	17.24	1.1	1	2	1	26532	3	3	976
25.621	8.597	11.797	13.282	0.272	0.523	0.286	0.534	3.084	11.695	9.887	16.677	1.1	2	2	2	86531	38	40	37831
10.894	3.062	13.138	1.651	0.151	0.073	0.193	0.091	0.477	12.976	1.511	1.791	1.1	1	6	1	40073	28	28	9016
7.823	1.85	2.729	1.887	0.183	0.097	0.135	0.062	0.825	2.655	1.826	1.948	1.1	2	2	1	82656	17	17	25516
1.067	0.593	0.772	0.595	0.073	0.033	0.094	0.047	0.177	0.667	0.499	0.691	1.1	1	1	1	13795	3	3	1912
16.353	6.752	9.549	9.89	0.264	0.09	0.281	0.091	0.646	9.243	9.574	10.206	1.1	3	1	1	53971	5	5	5393
3.481	1.536	5.152	1.454	0.252	0.045	0.472	0.371	0.003	4.883	1.313	1.595	1.1	1	1	1	9176	3	3	600
4.229	0.432	0.574	0.543	0.103	0.04	0.954	1.714	0	0.491	0.395	0.691	1.1	1	1	1	5770	4	4	784
1.462	1.428	1.176	4.323	0.108	0.035	0.136	0.043	0.209	0.995	0.594	8.052	1.1	1	1	1	5978	3	3	1862
4.958	4.279	11.491	4.994	0.073	0.077	0.068	0.07	0.811	11.22	4.746	5.242	1.1	1	1	1	76964	28	28	38610
4.257	8.216	3.693	2.468	0.346	0.101	0.374	0.082	0	3.423	2.192	2.744	1.1	1	1	1	27261	3	3	961
3.982	3.453	1.624	1.53	0.24	0.023	0.81	0.29	0.5	1.465	1.362	1.698	1.1	1	1	3	13215	3	7	7468
9.042	6.193	5.629	7.63	0.185	0.077	0.202	0.074	0.394	5.446	7.477	7.783	1.1	2	1	1	56214	4	4	3378
2.174	5.216	1.846	0.984	0.199	0.043	0.22	0.094	0.127	1.591	0.832	1.136	1.1	1	1	1	16519	3	3	2932
3.337	1.799	2.158	2.168	0.337	0.126	0.382	0.069	0	1.808	1.822	2.514	1.1	1	1	1	14291	3	3	1535
8.243	4.846	20.439	31.981	0.238	0.047	0.294	0.054	0.739	20.17	31.656	32.306	1.1	1	2	1	40683	8	8	4844
16.468	34.459	31.655	32.382	0.275	0.086	1.169	1.71	0.323	31.392	32.117	32.647	1.1	6	2	1	21056	8	8	4412
1.569	1.055	0.752	0.802	0.197	0.05	0.181	0.011	0	0.641	0.693	0.911	1.1	1	1	1	11720	3	3	777
23.825	16.33	12.169	5.563	0.465	0.837	0.479	0.837	1.075	11.938	5.435	5.691	1.1	1	1	1	78551	13	13	13149
9.467	11.907	8.23	7.709	0.275	0.072	2.316	2.907	0	7.896	7.29	8.128	1.1	1	1	2	27442	3	4	2315
21.583	8.604	27.378	20.832	0.378	0.731	0.237	0.048	2.934	27.083	20.586	21.078	1.1	1	2	1	50660	21	21	15699
5.489	7.854	8.795	9.943	0.303	0.061	1.333	1.733	0	8.484	9.628	10.258	1.1	1	1	1	12407	3	3	2570
