Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	61.5341075141636	..	..	..	..	52.9885245978292	..	..	..	..	40.5503004329431	..	..	..	..	29.3753883403107	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Albania	ALB	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9.02958508433386	..	..	..	..	6.8047706543185	..	..	..	..	6.65003220066934	..	..	..	..	7.3459133375721	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Algeria	DZA	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	20.0710118592448	..	..	..	..	20.501398505303	..	..	..	..	22.7684108366183	..	..	..	..	23.4586795513794	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Angola	AGO	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	71.049773845227	..	..	..	..	65.5056544638364	..	..	..	..	60.2164023806105	..	..	..	..	55.7889129126204	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Antigua and Barbuda	ATG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	41.8068362513297	..	..	..	..	52.5578758474404	..	..	..	..	32.1556676921179	..	..	..	..	22.2743434628082	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Argentina	ARG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	21.9279878472527	..	..	..	..	22.9580980360545	..	..	..	..	20.122170949484	..	..	..	..	19.2438841174803	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Armenia	ARM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	19.5596219046087	..	..	..	..	23.5225732321157	..	..	..	..	20.7735468439259	..	..	..	..	12.3306597959702	..	..
"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"	SH.DTH.COMM.1534.FE.ZS	Aruba	ABW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
