Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node Frequnecy	Eduard Groller	0	0	0	0	0	0	0	2	1	0	3	3	3	2	4	3	3	5	2	3	3	5	3	4	6	4	1
Node Frequnecy	Arie E. Kaufman	1	1	1	2	3	4	5	4	2	5	3	2	2	4	3	2	3	1	0	0	1	0	1	3	0	2	3
Node Frequnecy	Kwan-Liu Ma	0	0	1	1	1	1	0	1	0	2	2	1	3	4	4	1	0	1	4	7	4	0	6	2	4	1	2
Node Frequnecy	Thomas Ertl	0	0	0	0	0	0	0	3	1	4	3	3	2	3	3	4	1	1	1	2	1	1	4	1	4	3	4
Node Frequnecy	Daniel A. Keim	0	0	1	1	0	1	0	0	2	1	0	1	1	0	5	1	3	4	1	7	3	3	4	0	2	2	1
Node Frequnecy	Jarke J. van Wijk	0	0	1	3	0	2	1	0	1	3	1	3	1	4	2	3	2	1	1	0	0	3	1	0	3	2	0
Node Frequnecy	Cl��udio T. Silva	0	0	0	0	2	1	1	1	1	2	0	3	0	1	0	3	2	1	3	2	3	1	0	1	4	4	2
Node Frequnecy	Hanspeter Pfister	0	0	0	0	1	0	2	1	1	1	0	1	0	0	2	1	0	0	2	2	2	1	1	5	6	4	3
Node Frequnecy	David S. Ebert	0	0	0	0	1	0	2	0	1	1	1	0	2	2	3	3	3	2	2	3	0	2	3	0	3	0	1
Node Frequnecy	Daniel Weiskopf	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	3	2	0	1	2	2	3	4	3	2	2	5
Node Frequnecy	Huamin Qu	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	5	2	3	2	1	4	4	7
Node Frequnecy	Han-Wei Shen	0	0	0	0	1	1	1	1	1	1	0	0	0	5	1	1	3	1	1	2	1	1	0	2	0	3	5
Node Frequnecy	William Ribarsky	0	0	1	0	0	2	0	0	1	1	0	0	1	1	0	0	2	4	4	2	2	6	1	1	1	2	0
Node Frequnecy	David H. Laidlaw	0	0	0	0	0	0	0	0	2	2	1	3	0	1	7	0	2	0	0	3	1	0	3	0	2	3	1
Node Frequnecy	Bernd Hamann	1	1	0	0	0	0	2	2	1	2	2	2	1	3	1	2	0	5	1	0	1	1	2	0	1	0	0
Node Frequnecy	Helwig Hauser	0	0	0	0	0	0	0	0	0	0	1	2	2	3	1	2	1	3	3	2	1	2	1	1	3	1	2
Node Frequnecy	John T. Stasko	0	0	0	0	0	1	0	0	0	0	1	1	0	2	2	1	0	6	3	3	1	3	2	1	2	0	1
Node Frequnecy	Klaus Mueller	0	0	0	0	0	0	1	2	1	1	1	1	1	2	3	1	1	3	2	0	2	1	2	1	0	3	1
