Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Afghanistan	AFG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4.40818977355957	..	..	5.37819004058838	6.19590997695923	..	9.18523025512695	13.0602502822876	7.97186994552612	..	11.0746202468872	11.2291603088379	..	..	..	..	..	..	..	15.1118803024292	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Albania	ALB	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	92.0882797241211	..	..	..	97.4474792480469	97.0584716796875	..	94.2112197875977	93.0139007568359	..	..	98.4106674194336	94.8195419311523	93.7043914794922	91.4908218383789	97.6285629272461	102.668830871582	91.6247787475586	107.814918518066	104.699371337891	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Algeria	DZA	..	..	..	..	..	..	..	..	..	..	..	..	29.631010055542	31.7205009460449	33.0964012145996	38.5718307495117	44.1389694213867	47.4447784423828	49.9172210693359	50.6368789672852	51.6383399963379	54.2334098815918	57.9462013244629	60.3323707580566	63.6182594299316	74.4363479614258	62.6096496582031	65.3526992797852	66.7134628295898	69.6565933227539	69.1235504150391	70.1446685791016	73.3682479858398	73.31787109375	73.2198867797852	75.5886001586914	79.4055786132813	81.1215667724609	..	81.0285263061523	79.4802780151367	85.6206130981445	87.6316070556641	89.1420593261719	91.5656661987305	92.8704376220703	82.8156585693359	95.3219985961914	107.108009338379	92.7189331054688	95.3020172119141	97.2084121704102	101.121841430664	105.633460998535	108.6552734375	105.201553344727	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Angola	AGO	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	37.4909515380859	37.133171081543	36.726390838623	36.4112014770508	..	..	..	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Antigua and Barbuda	ATG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	83.6104507446289	80.4220428466797	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	90.0349731445313	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	101.49813079834	95.5863800048828	101.913269042969	95.7583465576172	..	..	92.7178192138672	82.4377517700195	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Argentina	ARG	..	..	..	..	..	..	..	..	..	..	73.9788131713867	74.6929016113281	..	..	..	81.9129104614258	81.6724395751953	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	95.3478393554688	94.294807434082	101.894340515137	98.8434219360352	98.9057235717773	98.6390380859375	102.636016845703	100.357749938965	98.9347763061523	97.019660949707	99.2531280517578	101.955093383789	104.98265838623	104.726921081543	104.315979003906	104.11058807373	102.782356262207	100.32243347168	101.203788757324	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Armenia	ARM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	94.6524429321289	91.4529876708984	101.954788208008	95.8654327392578	97.1926879882813	104.628982543945	106.110977172852	..	..	..	..	..	..	100.236747741699	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Aruba	ABW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	102.340087890625	97.2727279663086	100.145767211914	99.7198867797852	88.1401596069336	88.3268508911133	88.3984909057617	91.8546371459961	97.8233032226563	97.9085006713867	94.0079879760742	97.9729690551758	..	..	101.114212036133	101.41242980957	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Australia	AUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	95.8056869506836	97.7817764282227	98.0464324951172	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	100.863288879395	101.266273498535	..	..	99.9722518920898	100.725158691406	98.4449081420898	98.8577728271484	100.777313232422	103.107963562012	99.9738998413086	99.0774078369141	98.2373733520508	96.3284606933594	97.1380310058594	97.1001434326172	99.3006896972656	100.470123291016	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Azerbaijan	AZE	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	94.7653274536133	89.2378692626953	93.7032699584961	85.4222793579102	97.2292404174805	94.6531066894531	91.7693176269531	85.497428894043	93.9814987182617	100.991226196289	90.2480926513672	94.8574981689453	89.6128005981445	90.9314270019531	98.4918518066406	89.7155990600586	91.4284362792969	88.9788513183594	92.1835632324219	91.5945892333984	86.5466766357422	97.6105194091797	101.61833190918	..	..
"Primary completion rate, female (% of relevant age group)"	SE.PRM.CMPT.FE.ZS	Bahamas, The	BHS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	84.3369216918945	..	..	..	..	..	107.527618408203	102.124649047852	103.723220825195	102.480781555176	101.857688903809	94.7518692016602	..	..	..	..	..	..	..
