Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Afghanistan	AFG	..	1.764000058	1.611999989	1.962000012	1.92900002	1.055999994	1.707999945	1.710000038	1.70599997	1.713999987	1.687999964	1.713000059	0.904999971	12.62899971	12.82999992	12.99800014	12.81099987	12.61900043	12.43799973	12.28899956	12.18400002	11.97900009	11.96800041	12.17099953	12.09200001	12.22700024	12.36800003
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Albania	ALB	..	10.45600033	11.38000011	12.16100025	12.06999969	11.96000004	11.56999969	10.86100006	11.3920002	11.38799953	14.4289999	29.27599907	15.96700001	14.79599953	14.79399967	14.65299988	12.56799984	12.71700001	13.91899967	15.7869997	16.97800064	14.61900043	12.125	13.22599983	15.16399956	17.2859993	16.13599968
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Algeria	DZA	..	42.93700027	48.24100113	48.61800003	51.1269989	58.37099838	61.22299957	52.72900009	52.875	53.06800079	60.51599884	55.13700104	51.69599915	46.38700104	32.45199966	27.64699936	21.77799988	24.12800026	19.91300011	18.1590004	19.27700043	17.17099953	17.03700066	16.32799911	17.17099953	18.71500015	19.68400002
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Angola	AGO	..	7.237999916	7.191999912	7.063000202	7.263000011	7.379000187	7.373000145	7.328999996	7.315000057	7.300000191	7.31099987	7.321000099	7.396999836	7.330999851	7.375999928	7.43599987	7.455999851	7.471000195	7.401000023	7.31099987	7.318999767	7.321000099	7.328999996	7.34100008	7.313000202	7.168000221	7.06799984
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Antigua and Barbuda	ATG	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Arab World	ARB	..	21.13187671	21.35894853	22.60165571	22.65822628	24.20406323	23.51180783	22.92809749	22.71899833	19.9509924	21.37197596	21.62956656	22.12062995	22.64164287	21.05800737	20.5379477	19.29510014	18.0527178	18.09601426	18.73637483	19.90583872	20.72395349	21.1498184	20.95167252	20.46813411	20.33605024	19.96140898
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Argentina	ARG	..	6.47300005	6.537000179	13.34899998	14.64000034	22.26099968	20.21100044	18.17499924	15.02600002	15.69400024	16.40500069	19.31100082	22.13299942	18.71899986	15.82400036	13.60999966	11.76000023	10.51399994	9.829999924	9.937999725	9.229999542	8.565999985	8.928999901	8.649999619	8.506999969	7.738999844	7.672999859
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Armenia	ARM	..	20.88299942	20.32999992	20.38599968	20.23600006	20.34000015	20.48600006	19.49900055	19.51399994	19.77199936	19.84900093	19.92099953	19.92000008	19.87899971	19.82500076	19.71100044	19.57099915	19.39999962	19.28300095	19.88800049	21.36400032	19.79400063	18.36300087	18.36000061	19.59499931	18.98600006	18.65500069
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Aruba	ABW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Australia	AUS	..	9.145000458	9.920000076	9.987000465	9.359999657	8.102999687	8.234000206	8.069999695	7.335999966	6.663000107	6.065999985	6.447999954	6.164999962	5.980000019	5.534999847	5.217999935	4.914999962	4.777999878	4.56400013	5.388999939	5.361999989	5.289999962	5.31099987	5.592999935	6.157999992	6.072000027	5.771999836
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Austria	AUT	..	3.523000002	3.780999899	4.587999821	3.959000111	4.894999981	5.197000027	5.258999825	5.586999893	4.750999928	4.585999966	4.118999958	4.520999908	4.328999996	5.881000042	5.831999779	5.578000069	5.28000021	4.394000053	5.065000057	4.611000061	4.565000057	4.765999794	5.28000021	5.367000103	5.304999828	5.758999825
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Azerbaijan	AZE	..	5.099999905	5.221000195	5.315999985	5.374000072	5.412000179	5.453000069	7.71600008	8.484000206	4.235000134	13.83500004	12.76399994	11.70300007	10.76900005	9.371999741	8.562000275	7.743000031	5.078000069	4.846000195	6.561999798	6.827000141	6.309999943	6.102000237	5.948999882	5.881000042	5.90500021	5.915999889
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	"Bahamas, The"	BHS	..	12.05599976	15.71399975	13.32299995	15.24800014	12.02900028	14.54100037	11.25800037	9.788000107	9.953000069	9.31799984	7.353000164	9.387000084	11.78999996	11.02900028	11.31799984	8.527999878	9.229000092	9.347999573	14.14700031	14.5340004	15.63899994	14.21399975	16.24900055	16.31299973	16.20299911	15.57299995
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Bahrain	BHR	..	5.048999786	4.927000046	4.808000088	4.681000233	4.619999886	4.546000004	4.747000217	4.697999954	4.664999962	4.624000072	4.59800005	4.423999786	4.505000114	4.579999924	4.547999859	4.607999802	4.611999989	4.571000099	4.505000114	3.875999928	4.290999889	4.052000046	4.026000023	4.008999825	4.15899992	4.294000149
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Bangladesh	BGD	..	2.767999887	3.743000031	2.318000078	2.576999903	3.595999956	2.151000023	6.204999924	2.437999964	6.252999783	3.269000053	3.338999987	3.414999962	4.618999958	5.337999821	6.540999889	5.631999969	4.696000099	3.496999979	6.387000084	5.393000126	5.547999859	5.708000183	6.553999901	5.609000206	5.019999981	4.730999947
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Barbados	BRB	..	21.12899971	26.04800034	29.35199928	28.34300041	23.03100014	17.82099915	18.16399956	16.23600006	13.30099964	11.5010004	11.77999973	12.18999958	12.61400032	11.18700027	10.70100021	9.109000206	7.59100008	8.68599987	9.949000359	10.41600037	11.39999962	11.30000019	11.40999985	12.57499981	10.56099987	10.91800022
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Belarus	BLR	..	0.644999981	0.63499999	0.635999978	0.632000029	0.632000029	0.620999992	0.73299998	0.69599998	0.625	0.661000013	0.644999981	0.651000023	0.675000012	0.726999998	0.700999975	0.70599997	0.68900001	0.70599997	0.875999987	0.680999994	0.657999992	0.602999985	0.500999987	0.481999993	0.497999996	0.51700002
"Unemployment, female (% of female labor force) (modeled ILO estimate)"	SL.UEM.TOTL.FE.ZS	Belgium	BEL	..	10.63500023	9.489999771	10.79599953	12.44099998	12.22999954	12.41600037	11.55099964	11.70600033	10.21500015	8.281000137	6.921000004	7.798999786	8.031000137	8.262000084	9.50399971	9.305000305	8.437999725	7.59100008	8.097999573	8.508000374	7.171000004	7.401000023	8.159999847	7.93200016	7.796000004	7.854000092
