Variables	Terms	2009 Jan	2009 Feb	2009 Mar	2009 Apr	2009 May	2009 Jun	2009 Jul	2009 Aug	2009 Sep	2009 Oct	2009 Nov	2009 Dec	2010 Jan	2010 Feb	2010 Mar	2010 Apr	2010 May	2010 Jun	2010 Jul	2010 Aug	2010 Sep	2010 Oct	2010 Nov	2010 Dec	2011 Jan	2011 Feb	2011 Mar	2011 Apr	2011 May	2011 Jun	2011 Jul	2011 Aug	2011 Sep	2011 Oct	2011 Nov	2011 Dec	2012 Jan	2012 Feb	2012 Mar	2012 Apr	2012 May	2012 Jun	2012 Jul	2012 Aug	2012 Sep	2012 Oct	2012 Nov	2012 Dec	2013 Jan	2013 Feb	2013 Mar	2013 Apr	2013 May	2013 Jun	2013 Jul	2013 Aug	2013 Sep	2013 Oct	2013 Nov	2013 Dec
Term Frequnecy	massachusetts	20	11	12	23	16	16	36	49	41	16	15	22	200	74	48	42	25	31	20	23	28	24	29	21	25	21	24	10	22	32	21	23	36	39	34	39	89	78	61	42	52	61	61	69	85	157	111	41	32	23	25	38	20	26	24	18	24	35	32	22
Term Frequnecy	wisconsin	5	9	8	8	7	10	8	9	10	6	6	9	7	7	13	6	8	12	5	18	18	28	32	10	8	118	131	52	27	28	19	37	28	24	35	31	23	23	34	48	38	73	28	98	54	72	70	29	19	19	13	7	14	16	32	14	21	16	16	15
Term Frequnecy	libya	1	2	3	2	8	3	1	9	5	3	1	0	4	4	1	0	1	2	1	3	0	1	1	4	3	35	137	77	46	47	28	31	33	39	29	29	21	15	20	16	23	22	10	15	71	109	35	16	24	18	18	9	35	22	14	20	45	20	9	10
Term Frequnecy	iranian	18	4	13	15	7	81	21	16	22	19	5	14	15	13	18	11	18	13	14	18	21	17	9	26	7	26	12	9	8	8	5	7	19	20	26	23	35	34	51	18	21	26	15	15	31	39	19	9	18	13	20	19	19	17	10	21	33	23	35	32
Term Frequnecy	king	46	6	4	6	10	9	10	13	7	17	5	12	38	13	16	17	11	8	19	31	18	19	6	20	53	14	43	14	21	9	6	25	10	28	13	12	45	12	17	11	16	13	16	13	11	18	13	6	56	11	13	30	12	18	29	79	20	14	10	17
Term Frequnecy	arab	30	1	18	8	12	21	19	13	18	9	18	8	12	8	21	9	11	17	15	23	21	20	7	16	18	61	42	22	47	22	14	16	30	20	30	27	15	12	20	18	21	18	14	9	45	30	22	11	19	7	25	19	11	10	11	19	19	11	9	8
Term Frequnecy	boston	16	4	11	16	9	14	14	26	14	11	15	15	27	14	9	9	15	7	16	7	11	14	16	4	6	12	11	5	15	18	6	8	13	22	23	14	18	14	22	10	10	12	18	19	16	32	22	14	17	13	12	135	67	33	24	13	8	16	16	14
Term Frequnecy	citizens united	0	0	0	0	0	1	2	1	5	0	0	2	37	18	18	12	8	11	6	9	11	39	22	13	16	10	11	6	5	16	7	9	7	18	19	15	52	36	32	34	31	59	39	28	35	28	56	11	16	9	10	10	17	9	10	6	9	16	9	9
Term Frequnecy	gulf	5	0	3	1	3	3	4	3	1	3	4	2	4	2	1	10	94	160	73	44	21	17	11	12	8	13	17	13	9	6	7	12	9	6	8	9	17	4	18	13	5	4	8	9	9	14	15	6	11	9	8	5	10	6	8	9	10	9	7	2
Term Frequnecy	israelis	35	5	11	7	11	14	10	9	15	16	13	2	12	4	28	10	9	17	6	8	26	17	18	16	7	17	8	2	35	11	9	5	18	7	13	10	13	16	30	10	10	5	14	17	15	13	17	9	12	8	23	13	5	10	6	11	15	8	13	11
Term Frequnecy	occupy wall street	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	216	147	71	41	22	29	16	18	19	5	9	20	9	11	6	11	4	4	5	4	5	6	4	8	5	5	6
Term Frequnecy	boehner	9	3	3	3	1	2	2	1	5	2	2	3	4	5	18	6	7	9	9	16	20	16	21	15	20	14	14	16	10	10	34	7	15	5	5	12	7	6	6	9	7	7	5	2	4	2	25	37	22	8	12	6	1	6	12	10	17	58	14	15
