Series Name	Series Code	Country Name	Country Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Afghanistan	AFG	33.133	33.586	34.03	34.469	34.904	35.337	35.768	36.2	36.634	37.072	37.518	37.97	38.432	38.904	39.39	39.891	40.409	40.945	41.503	42.086	42.705	43.369	44.08	44.837	45.636	46.473	47.345	48.239	49.138	50.024	50.874	51.667	52.393	53.051	53.643	54.179	54.676	55.156	55.642	56.145	56.678	57.249	57.849	58.468	59.1	59.73	60.346	60.933	61.486	61.999	62.476	62.924	63.354	63.778	64.197	64.613	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Albania	ALB	63.247	64.325	65.261	66.017	66.585	66.987	67.273	67.517	67.779	68.084	68.441	68.84	69.247	69.64	70.014	70.37	70.711	71.045	71.382	71.725	72.085	72.472	72.885	73.315	73.746	74.15	74.488	74.741	74.902	74.978	74.992	74.981	74.985	75.039	75.158	75.352	75.618	75.931	76.269	76.616	76.953	77.264	77.541	77.782	77.988	78.17	78.344	78.528	78.733	78.962	79.209	79.462	79.705	79.927	80.124	80.297	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Algeria	DZA	46.865	47.333	47.801	48.265	48.723	49.17	49.597	50.006	50.404	50.8	51.199	51.608	52.041	52.519	53.067	53.729	54.554	55.554	56.716	58.014	59.402	60.82	62.2	63.481	64.624	65.596	66.382	67.014	67.525	67.934	68.267	68.551	68.811	69.073	69.357	69.679	70.044	70.439	70.856	71.293	71.748	72.22	72.703	73.189	73.669	74.13	74.561	74.957	75.314	75.634	75.918	76.174	76.412	76.644	76.873	77.103	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Angola	AGO	34.737	35.07	35.421	35.789	36.173	36.568	36.971	37.379	37.787	38.194	38.601	39.011	39.426	39.843	40.258	40.663	41.05	41.412	41.742	42.039	42.299	42.52	42.71	42.877	43.026	43.163	43.289	43.41	43.537	43.682	43.854	44.056	44.296	44.588	44.948	45.403	45.978	46.68	47.508	48.453	49.502	50.635	51.819	53.023	54.222	55.404	56.568	57.714	58.836	59.911	60.908	61.795	62.556	63.188	63.695	64.094	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Antigua and Barbuda	ATG	64.167	64.593	65.012	65.425	65.832	66.231	66.622	67.005	67.378	67.743	68.098	68.444	68.781	69.112	69.435	69.752	70.063	70.366	70.663	70.954	71.239	71.517	71.79	72.057	72.318	72.574	72.826	73.073	73.316	73.555	73.79	74.022	74.251	74.476	74.697	74.914	75.128	75.338	75.545	75.747	75.947	76.144	76.338	76.53	76.719	76.906	77.091	77.273	77.452	77.628	77.8	77.967	78.129	78.287	78.44	78.59	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Argentina	ARG	68.154	68.362	68.536	68.685	68.82	68.958	69.111	69.289	69.495	69.733	70	70.291	70.593	70.896	71.196	71.494	71.793	72.097	72.407	72.718	73.022	73.308	73.571	73.806	74.016	74.206	74.387	74.569	74.762	74.969	75.191	75.426	75.666	75.905	76.142	76.377	76.611	76.844	77.079	77.313	77.544	77.769	77.987	78.194	78.392	78.581	78.761	78.936	79.107	79.275	79.439	79.599	79.752	79.899	80.04	80.177	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Armenia	ARM	69.057	69.481	69.908	70.336	70.761	71.182	71.597	72.002	72.389	72.748	73.063	73.317	73.503	73.623	73.683	73.706	73.725	73.76	73.818	73.885	73.917	73.849	73.643	73.287	72.805	72.251	71.7	71.232	70.908	70.755	70.782	70.969	71.26	71.607	71.985	72.38	72.787	73.21	73.643	74.07	74.469	74.817	75.106	75.335	75.509	75.642	75.757	75.88	76.027	76.206	76.415	76.644	76.874	77.091	77.292	77.474	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Aruba	ABW	67.129	67.625	68.065	68.458	68.817	69.165	69.526	69.917	70.345	70.811	71.306	71.815	72.313	72.779	73.204	73.579	73.902	74.183	74.43	74.647	74.839	75.01	75.164	75.305	75.436	75.556	75.663	75.754	75.827	75.886	75.932	75.969	76.002	76.033	76.066	76.1	76.133	76.164	76.192	76.221	76.257	76.307	76.375	76.465	76.575	76.703	76.845	76.992	77.14	77.285	77.425	77.561	77.695	77.83	77.965	78.1	..	..
"Life expectancy at birth, female (years)"	SP.DYN.LE00.FE.IN	Australia	AUS	74	74.2	74.2	74.2	74.2	74.2	74.2	74.26	74.32	74.38	74.44	74.5	74.92	75.34	75.76	76.18	76.6	76.94	77.28	77.62	77.96	78.3	78.48	78.66	78.84	79.02	79.2	79.44	79.68	79.92	80.16	80.4	80.4	80.9	80.9	80.8	81.1	81.4	81.5	81.8	82	82.4	82.6	82.8	83	83.3	83.5	83.7	83.7	83.9	84	84.2	84.3	84.3	84.4	84.5	..	..
